,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts,strategy_jdg
16,2017/10/30,14:33:26,321,31710071,4,1,3,3,CHECK,0,0,1,2,3,1509341592,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_3,F*,60,F*_s
22,2017/10/30,14:33:40,321,31710071,4,1,4,3,CHECK,0,0,1,2,3,1509341606,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_4,F*,60,F*_s
28,2017/10/30,14:33:51,321,31710071,4,1,5,3,CHECK,0,0,1,2,3,1509341620,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_5,F*,60,F*_s
34,2017/10/30,14:34:27,321,31710071,4,2,1,3,CHECK,0,0,1,2,3,1509341636,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_1,F*,60,F*_s
40,2017/10/30,14:34:42,321,31710071,4,2,2,3,CHECK,0,0,1,2,3,1509341667,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_2,F*,60,F*_s
46,2017/10/30,14:34:55,321,31710071,4,2,3,3,CHECK,0,0,1,2,3,1509341683,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_3,F*,60,F*_s
52,2017/10/30,14:35:07,321,31710071,4,2,4,3,CHECK,0,0,1,2,3,1509341695,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_4,F*,60,F*_s
58,2017/10/30,14:35:23,321,31710071,4,2,5,3,CHECK,0,0,1,2,3,1509341707,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_5,n,60,n_s
64,2017/10/30,14:37:09,352,31710071,4,3,1,3,CHECK,0,0,2,5,3,1509341777,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,4_3_1,r,60,r_f
85,2017/10/30,14:38:54,321,31710071,4,3,2,3,CHECK,0,0,1,2,3,1509341923,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_2,s,60,s_s
91,2017/10/30,14:39:10,321,31710071,4,3,3,3,CHECK,0,0,1,2,3,1509341934,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_3,s,60,s_s
97,2017/10/30,14:39:44,321,31710071,4,3,4,3,CHECK,0,0,1,2,3,1509341951,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_4,s,60,s_s
