,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy
0,2017/10/09,14:50:55,521,31710071,1,1,3,CHECK,0,0,1,2,5,1507528209,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,1_1,F*
1,2017/10/09,14:51:46,321,31710071,1,2,3,CHECK,0,0,1,2,3,1507528277,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,F*
2,2017/10/09,14:52:10,321,31710071,1,3,3,CHECK,0,0,1,2,3,1507528307,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,F*
3,2017/10/09,14:52:44,321,31710071,1,4,3,CHECK,0,0,1,2,3,1507528330,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_4,r
4,2017/10/09,14:53:09,521,31710071,1,5,3,CHECK,0,0,1,2,5,1507528365,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,1_5,F*
5,2017/10/09,14:53:41,321,31710071,2,1,3,CHECK,0,0,1,2,3,1507528396,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1,r
6,2017/10/09,14:54:15,321,31710071,2,2,3,CHECK,0,0,1,2,3,1507528422,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2,r
7,2017/10/09,14:54:28,321,31710071,2,3,3,CHECK,0,0,1,2,3,1507528455,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3,r
8,2017/10/09,14:54:42,321,31710071,2,4,3,CHECK,0,0,1,2,3,1507528469,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_4,r
9,2017/10/09,14:54:58,321,31710071,2,5,3,CHECK,0,0,1,2,3,1507528483,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_5,r
10,2017/10/09,14:56:52,521,31710071,3,1,5,CHECK,0,0,1,2,5,1507528500,1,f,0,0,1,1,1,3,1,,,,,,,,,r,,3_1,r
11,2017/10/09,14:59:28,213,31710071,3,2,3,CHECK,0,0,3,1,2,1507528737,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2,F*
12,2017/10/09,14:59:57,213,31710071,3,3,3,CHECK,0,0,3,1,2,1507528768,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_3,F*
13,2017/10/09,15:00:18,213,31710071,3,4,3,CHECK,0,0,3,1,2,1507528797,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_4,F*
14,2017/10/09,15:00:30,213,31710071,3,5,3,CHECK,0,0,3,1,2,1507528819,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_5,F*
15,2017/10/09,15:04:29,321,31710061,1,1,3,CHECK,0,0,1,2,3,1507529057,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,n
16,2017/10/09,15:04:48,521,31710061,1,2,5,CHECK,0,0,1,2,5,1507529071,1,f,0,0,1,1,1,3,1,,,,,,,,,,,1_2,n
17,2017/10/09,15:05:06,321,31710061,1,3,5,CHECK,0,0,1,2,3,1507529096,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,F*
18,2017/10/09,15:05:21,321,31710061,1,4,3,CHECK,0,0,1,2,3,1507529107,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_4,r
19,2017/10/09,15:05:36,321,31710061,1,5,5,CHECK,0,0,1,2,3,1507529122,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,F*
20,2017/10/09,15:05:57,321,31710061,2,1,5,CHECK,0,0,1,2,3,1507529138,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1,F*
21,2017/10/09,15:06:09,321,31710061,2,2,3,CHECK,0,0,1,2,3,1507529157,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,F*
22,2017/10/09,15:06:27,321,31710061,2,3,5,CHECK,0,0,1,2,3,1507529170,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3,r
23,2017/10/09,15:06:43,321,31710061,2,4,5,CHECK,0,0,1,2,3,1507529187,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_4,r
24,2017/10/09,15:07:02,321,31710061,2,5,9,CHECK,0,0,1,2,3,1507529204,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,n
25,2017/10/09,15:07:55,132,31710061,3,1,9,CHECK,0,0,2,3,1,1507529225,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1,n
26,2017/10/09,15:08:25,312,31710061,3,2,7,CHECK,0,0,2,1,3,1507529276,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2,n
27,2017/10/09,15:08:45,132,31710061,3,3,7,CHECK,0,0,2,3,1,1507529307,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3,n
28,2017/10/09,15:08:57,312,31710061,3,4,3,CHECK,0,0,2,1,3,1507529326,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_4,s
29,2017/10/09,15:09:19,152,31710061,3,5,11,CHECK,0,0,2,5,1,1507529338,1,f,0,0,1,1,1,3,1,,,,,,,,,,,3_5,n
30,2017/10/09,15:41:57,326,31610012,1,1,3,CHECK,0,0,6,2,3,1507531309,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,1_1,F*
31,2017/10/09,15:42:13,341,31610012,1,2,3,CHECK,0,0,1,4,3,1507531324,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,1_2,F*
32,2017/10/09,15:42:27,321,31610012,1,3,5,CHECK,0,0,1,2,3,1507531338,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_3,n
33,2017/10/09,15:42:34,326,31610012,1,4,3,CHECK,0,0,6,2,3,1507531348,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,1_4,F*
34,2017/10/09,15:42:55,321,31610012,1,5,5,CHECK,0,0,1,2,3,1507531365,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,F*
35,2017/10/09,15:43:14,526,31610012,2,1,5,CHECK,0,0,6,2,5,1507531378,1,f,0,0,1,1,0,2,1,,,,,,,,,,F*,2_1,F*
36,2017/10/09,15:44:34,321,31610012,2,2,7,CHECK,0,0,1,2,3,1507531422,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2,n
