,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q
4,2017/10/30,14:32:56,321,31710071,1,1,3,CHECK,0,0,1,2,3,1509341558,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_1
10,2017/10/30,14:33:11,321,31710071,1,2,3,CHECK,0,0,1,2,3,1509341576,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_2
16,2017/10/30,14:33:26,321,31710071,1,3,3,CHECK,0,0,1,2,3,1509341592,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_3
22,2017/10/30,14:33:40,321,31710071,1,4,3,CHECK,0,0,1,2,3,1509341606,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_4
28,2017/10/30,14:33:51,321,31710071,1,5,3,CHECK,0,0,1,2,3,1509341620,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_5
34,2017/10/30,14:34:27,321,31710071,2,1,3,CHECK,0,0,1,2,3,1509341636,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_1
40,2017/10/30,14:34:42,321,31710071,2,2,3,CHECK,0,0,1,2,3,1509341667,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_2
46,2017/10/30,14:34:55,321,31710071,2,3,3,CHECK,0,0,1,2,3,1509341683,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_3
52,2017/10/30,14:35:07,321,31710071,2,4,3,CHECK,0,0,1,2,3,1509341695,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_4
58,2017/10/30,14:35:23,321,31710071,2,5,3,CHECK,0,0,1,2,3,1509341707,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_5
64,2017/10/30,14:37:09,352,31710071,3,1,3,CHECK,0,0,2,5,3,1509341777,1,f,0,0,1,0,0,1,1,,,,,,,,0,1,0,3_1
69,2017/10/30,14:37:30,453,31710071,3,1,7,CHECK,0,0,3,5,4,1509341777,2,f,0,0,1,1,1,3,1,,,,,,,,0,1,0,3_1
74,2017/10/30,14:37:45,354,31710071,3,1,11,CHECK,0,0,4,5,3,1509341777,3,f,0,0,1,1,1,3,1,,,,,,,,0,1,0,3_1
79,2017/10/30,14:38:40,321,31710071,3,1,15,CHECK,0,0,1,2,3,1509341777,4,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_1
