,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q
6,2017/10/16,14:58:59,321,ばんごう,1,1,5,CHECK,0,0,1,2,3,1508133494,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_1
11,2017/10/16,14:59:39,321,ばんごう,1,2,3,CHECK,0,0,1,2,3,1508133543,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_2
16,2017/10/16,14:59:51,321,ばんごう,1,3,3,CHECK,0,0,1,2,3,1508133580,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_3
23,2017/10/16,15:00:44,321,ばんごう,1,4,5,CHECK,0,0,1,2,3,1508133592,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_4
28,2017/10/16,15:01:16,321,ばんごう,1,5,3,CHECK,0,0,1,2,3,1508133644,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_5
33,2017/10/16,15:01:35,341,ばんごう,2,1,3,CHECK,0,0,1,4,3,1508133680,1,f,0,0,1,0,1,2,1,,,,,,,,0,0,0,2_1
36,2017/10/16,15:01:41,346,ばんごう,2,1,5,CHECK,0,0,6,4,3,1508133680,2,f,0,0,1,0,0,1,1,,,,,,,,0,0,0,2_1
39,2017/10/16,15:01:47,326,ばんごう,2,1,7,CHECK,0,0,6,2,3,1508133680,3,f,1,1,1,1,0,4,1,,,,,,,,0,0,0,2_1
42,2017/10/16,15:01:53,526,ばんごう,2,1,9,CHECK,0,0,6,2,5,1508133680,4,f,0,0,1,0,0,1,1,,,,,,,,0,0,0,2_1
49,2017/10/16,15:02:35,321,ばんごう,2,1,15,CHECK,0,0,1,2,3,1508133680,5,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_1
54,2017/10/16,15:02:56,321,ばんごう,2,2,3,CHECK,0,0,1,2,3,1508133756,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_2
61,2017/10/16,15:03:19,321,ばんごう,2,3,5,CHECK,0,0,1,2,3,1508133777,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_3
