strategy,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
F*,14,13,11,11,12,7,5,5,5,0,9,11,18,13,18
n,14,12,9,6,7,4,9,4,4,9,5,6,3,1,2
r,5,9,14,17,15,23,20,25,25,23,20,16,13,19,14
s,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0
