strategy,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
F*,1,3,3,2,3,1,1,1,1,1,1,0,0,0,0,18
n,1,0,0,1,0,3,1,2,2,1,0,0,1,1,1,14
r,0,0,0,0,0,0,2,1,1,2,0,1,0,0,0,7
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
All,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,40
