strategy,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
F*,18,22,22,19,23,12,9,11,8,9,2,3,2,2,2,164
n,22,10,10,12,7,14,15,21,21,24,26,11,11,10,11,225
r,8,16,16,17,18,19,23,16,18,15,15,31,34,33,33,312
s,0,0,0,0,0,3,1,0,1,0,5,3,1,3,2,19
All,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,720
