strategy,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
F*,28,40,38,33,37,25,34,32,33,33,12,0,0,0,0
n,15,4,8,8,8,16,10,11,10,11,25,29,20,24,24
r,5,3,2,6,3,6,4,5,4,4,8,8,17,12,10
s,0,1,0,1,0,1,0,0,1,0,3,11,11,12,14
