strategy,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,All
F*,0,0,0,0,0,0,1,0,0,0,1
n,0,1,1,0,0,0,0,1,0,0,3
r,2,1,1,2,2,2,1,1,2,2,16
All,2,2,2,2,2,2,2,2,2,2,20
