cluster2,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R
0,53.84615384615385,46.15384615384615,0.0,0.0,100.0,30.76923076923077,0.0,100.0,38.46153846153846,0.0,100.0,38.46153846153846,0.0,92.30769230769232,30.76923076923077
1,0.0,50.0,0.0,0.0,100.0,0.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,100.0,50.0
2,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.33333333333333,0.0
3,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0
4,83.33333333333334,83.33333333333334,0.0,16.66666666666666,0.0,0.0,0.0,100.0,16.66666666666666,0.0,100.0,50.0,0.0,100.0,16.66666666666666
5,0.0,100.0,20.0,0.0,100.0,20.0,0.0,100.0,40.0,0.0,100.0,20.0,0.0,100.0,10.0
6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
7,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50.0,50.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,100.0,50.0
10,0.0,100.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
