cluster0,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R
0,66.66666666666666,0.0,0.0,100.0,66.66666666666666,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0
2,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,50.0,0.0,0.0
3,80.0,80.0,0.0,80.0,80.0,0.0,80.0,0.0,0.0,100.0,100.0,0.0,80.0,80.0,0.0
4,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
5,50.0,50.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
8,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
9,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0
10,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0
11,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
