cluster2,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R
0,3,1,0,0,0,0,0,5,0,0,5,0,0,5,0
1,1,0,0,1,1,2,0,2,1,0,0,1,0,2,1
2,1,1,0,0,2,0,0,0,0,0,2,0,0,2,0
3,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0
4,0,6,1,0,6,2,0,6,2,0,6,1,0,6,1
5,3,1,0,0,7,0,0,7,0,0,7,0,0,7,0
6,3,0,0,0,0,0,2,2,0,0,0,1,0,0,0
7,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0
8,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
9,2,0,0,1,0,0,0,0,1,0,2,0,0,2,1
10,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
11,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1
