,InputID,day,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R,cluster0,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R,cluster1,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R,cluster2
0,31710071,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,R,2,F,S,R,F,S,R,F,S,x,F,S,x,F,S,x,3,x,x,R,x,S,x,x,S,x,x,S,x,x,S,x,1
1,31510207,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,3,x,x,x,x,x,R,x,x,R,x,x,R,x,x,R,2
2,31710061,5,F,x,x,F,S,x,F,S,R,F,S,R,F,S,x,0,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,3,x,x,x,x,x,x,F,x,R,F,x,R,F,x,x,7
3,s31610012,5,F,x,x,F,S,x,F,S,x,x,S,x,F,S,x,6,x,x,R,F,S,x,F,S,x,F,S,x,F,S,x,5,F,x,x,x,S,R,x,S,R,x,S,R,x,S,R,2
4,31610124,5,x,x,R,F,S,R,F,S,R,F,S,R,F,S,x,7,F,S,x,F,S,x,F,S,x,F,S,x,x,S,x,3,x,x,x,x,x,x,x,x,R,x,x,x,x,x,R,3
5,31610158,5,F,x,x,F,S,x,F,S,x,x,S,x,F,S,x,6,x,x,x,x,x,x,x,x,x,x,x,R,x,x,R,0,x,x,x,F,x,R,F,x,R,F,x,R,F,x,R,2
6,31610028,5,F,x,R,F,S,R,F,S,R,F,S,R,F,S,R,3,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,4,x,x,R,x,S,R,x,S,R,x,S,R,x,S,R,6
7,31710023,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,F,S,x,F,S,R,F,S,R,F,S,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0
8,31610016,5,F,x,x,F,S,R,x,S,R,x,S,R,F,S,R,0,F,S,R,F,x,R,F,x,x,F,S,R,F,S,x,2,x,S,R,x,S,R,x,S,R,x,S,R,x,S,R,6
9,31410196,5,F,S,x,F,S,x,x,x,x,F,S,x,F,S,x,2,F,S,R,x,S,R,F,S,R,F,S,R,F,S,R,4,x,S,x,x,S,R,x,S,R,x,S,R,x,S,R,2
10,31710135,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,3,x,x,x,F,x,R,F,x,R,F,x,R,F,x,R,2
11,31410011,5,x,x,x,x,x,R,x,S,R,F,S,R,F,S,R,4,x,S,R,F,S,R,F,S,R,x,S,R,x,S,R,0,x,S,R,x,S,R,x,S,R,x,S,R,x,S,R,6
12,31210101,5,x,x,x,F,S,x,F,S,x,F,S,x,F,x,x,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,R,3,x,S,x,x,S,R,x,x,R,x,S,R,x,x,R,2
13,31410170,5,F,S,x,x,x,x,F,S,R,F,S,x,F,S,x,2,F,S,x,F,S,R,F,S,R,F,S,R,F,S,R,4,x,S,x,x,S,R,x,S,R,x,x,R,x,S,R,2
14,3161013,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,S,x,x,S,x,x,S,x,x,S,x,x,S,R,0
