cluster0,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R
0,87.5,87.5,25.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,42.85714285714285,85.71428571428571,85.71428571428571,71.42857142857143,100.0,100.0,57.14285714285714
2,0.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,100.0,50.0
3,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,33.33333333333333,100.0,100.0,0.0
4,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0
6,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
7,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,100.0,100.0,0.0,100.0,100.0,0.0,0.0,50.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
