cluster1,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R
0,20,17,0,20,20,0,20,20,0,20,20,0,20,18,0
1,7,6,0,8,8,0,7,2,2,7,7,0,8,8,0
2,4,4,0,5,1,1,4,4,0,4,4,0,5,5,0
3,1,4,1,4,4,0,4,4,0,3,3,0,4,3,0
4,3,1,0,3,2,0,3,2,0,4,0,0,2,2,0
5,1,1,0,2,2,0,2,2,0,1,2,1,2,2,0
6,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0
7,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
8,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
9,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1
10,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
