"InputID","day","1_1","1_2","1_3","1_4","1_5","2_1","2_2","2_3","2_4","2_5","3_1","3_2","3_3","3_4","3_5"
"31710071",2,"F_S_x","F_S_x","F_S_x","F_S_R","F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_x","F_x_R","F_x_R","F_x_R","F_x_R"
"31710061",2,"F_S_x","x_x_x","F_S_x","F_S_R","F_S_x","F_S_x","F_S_x","F_x_x","F_S_R","F_S_x","x_x_x","x_S_x","x_x_x","x_S_x","x_x_x"
"31610012",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_R","x_x_R","x_x_R","x_x_R","x_x_R"
"31610158",2,"x_x_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_x","x_S_R","x_S_R","x_x_R","x_S_R"
"31610028",2,"F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_S_R","x_S_R","x_S_R","x_S_R","x_S_R"
"31610037",2,"x_S_R","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_x","F_x_x","F_x_R","F_x_R","F_x_R","F_x_R"
"31610016",2,"F_S_x","F_S_x","F_S_R","F_S_R","F_S_x","F_S_R","F_S_x","F_S_x","F_S_R","F_S_R","x_x_R","x_S_R","x_S_R","x_x_x","x_S_R"
"31410196",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_x","F_S_R","F_S_R","F_S_R","x_x_x","x_x_x","F_x_R","F_x_R","F_x_R"
"31410011",2,"F_S_R","F_S_R","F_S_R","F_S_R","x_S_R","F_S_R","F_S_R","F_S_R","F_x_x","F_S_R","x_S_R","x_S_R","x_S_R","x_S_R","x_S_R"
"31610007",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_S_x","F_S_x","F_x_R","F_x_x","F_x_R","x_x_R","F_x_x"
"31410066",2,"F_S_x","F_S_x","x_S_x","F_S_x","F_S_x","F_S_x","x_x_x","F_S_x","F_S_x","F_S_x","x_x_x","x_S_x","x_S_x","x_S_R","x_S_x"
"31410170",2,"F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"31510087",2,"F_S_x","F_S_x","x_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"31510074",2,"F_S_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_x","F_x_R","F_x_R","F_x_R","F_x_R"
"72",2,"F_S_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_S_R","x_x_R","x_x_R","x_S_R","x_S_R","x_S_R"
"31710150",2,"F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
