InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
31710117,5,F_S_x,F_x_x,F_S_x,F_S_x,x_x_x,2,F_x_x,F_S_x,F_S_x,F_S_x,x_S_x,2,x_x_x,x_x_R,x_x_R,x_x_R,x_x_x,0
3161097,5,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,1,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,1,x_x_x,x_x_x,x_x_x,x_x_R,x_x_x,0
s31710111,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_R,F_S_x,F_S_x,F_S_x,F_S_x,2,x_x_x,x_x_R,x_S_R,x_x_x,x_S_x,0
31410123,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_R,F_S_x,1,x_S_x,x_S_x,x_S_R,x_S_R,x_S_R,0
s31710137,5,x_S_R,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_S_x,x_S_R,x_S_x,x_x_x,0
31710143,5,x_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,x_x_R,x_x_x,x_x_R,0,x_x_R,x_x_x,x_x_x,x_x_R,x_x_x,0
31510173,5,F_S_x,F_S_x,F_S_x,x_x_x,F_S_x,1,x_S_x,F_x_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_x,x_S_x,x_x_x,0
31510062,5,F_S_x,F_x_x,F_S_x,F_x_x,F_x_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_x_R,x_S_R,x_S_R,x_S_R,1
31710165,5,F_S_x,F_x_x,F_S_x,F_S_x,F_x_x,2,F_S_x,F_S_R,x_S_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_R,x_S_x,x_x_x,0
31710156,5,x_x_x,x_x_R,x_x_R,x_x_R,F_S_x,0,x_x_R,x_S_R,F_S_x,x_x_x,x_x_x,2,x_x_R,x_x_R,x_x_R,x_x_R,x_x_R,2
31710086,5,F_S_x,x_x_R,x_S_R,x_S_R,x_S_R,0,F_S_x,F_S_R,x_S_R,x_S_R,x_S_R,0,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,2
31610121,5,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,F_x_x,F_x_x,F_S_x,F_S_x,F_S_x,2,x_S_x,x_S_x,x_S_x,x_S_R,x_S_x,0
31710074,5,x_x_x,x_x_R,x_x_R,x_x_R,x_x_R,0,x_x_R,x_x_R,x_x_R,x_x_R,x_x_x,0,x_x_R,x_S_R,x_S_R,x_S_R,x_S_R,2
31710042,5,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,1,x_x_x,x_S_x,x_x_x,x_x_x,F_S_x,1,x_S_x,F_x_R,x_x_x,F_x_x,x_x_x,0
