InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
31710071,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_R,F_S_R,F_S_x,F_S_R,F_S_R,2,x_S_x,x_S_R,x_S_R,x_S_x,x_S_R,1
31710061,3,F_S_x,F_x_x,F_S_x,F_x_x,F_S_x,0,F_x_x,F_S_x,F_x_x,F_S_x,F_S_x,0,F_S_x,x_x_x,x_S_x,x_S_x,x_x_x,0
S31610012,3,F_x_x,F_x_x,F_S_x,F_S_x,F_S_x,2,x_x_x,x_x_x,F_S_x,F_S_R,F_S_x,1,F_x_x,x_x_x,x_x_x,x_x_x,x_x_x,0
3161014,3,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_S_x,F_S_x,F_x_x,F_x_x,1,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,0
31610016,3,F_S_x,F_x_x,F_S_x,F_x_x,F_S_R,0,F_S_x,F_S_x,F_S_x,F_S_x,F_x_x,1,F_x_x,x_x_x,x_x_x,x_x_x,x_x_x,0
31410196,3,F_S_x,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,1,x_x_x,x_x_x,x_S_x,x_S_x,x_S_x,0
31710135,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,0
31410011,3,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,1,F_S_x,x_S_x,F_x_x,x_x_x,x_S_R,1
31610007,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,F_x_x,x_x_R,x_S_x,x_S_R,1
31210101,3,x_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_x_x,F_x_x,F_S_x,F_S_x,F_S_x,0,F_x_x,x_x_x,x_S_x,x_S_x,x_S_x,0
31710167,3,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,F_x_x,F_x_x,F_x_x,F_S_x,F_x_x,0,F_x_x,x_x_x,F_S_x,x_x_R,x_x_x,0
31510074,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,x_S_x,x_S_x,x_S_x,x_S_x,0
31610044,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,x_x_x,x_S_x,x_x_x,x_x_x,0
31710150,3,F_S_x,F_S_x,F_x_x,F_S_x,F_S_x,1,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,x_x_x,x_S_x,x_x_x,x_x_x,0
31710148,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,x_x_x,x_x_x,x_S_x,x_x_x,0
31510058,3,F_S_R,F_S_R,F_S_x,F_S_x,x_x_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_S_x,x_x_x,F_S_x,x_S_x,x_x_x,0
31710046,3,F_S_x,x_x_x,x_x_x,F_S_x,F_S_x,1,x_S_x,F_S_x,F_S_x,F_S_x,F_S_R,1,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,0
31710096,3,F_S_x,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,0,F_x_x,x_x_x,x_x_x,x_S_x,x_S_x,0
31610135,3,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,1,F_S_R,F_S_x,F_x_x,F_S_x,x_x_x,0,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,0
31710002,3,x_x_x,F_x_x,x_S_x,F_S_R,x_x_x,0,F_S_x,F_S_R,F_S_x,F_S_x,F_S_x,0,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,0
31610052,3,x_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,F_S_x,F_S_x,F_S_x,0,x_S_R,x_S_R,x_S_R,x_S_R,x_S_x,2
31510156,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_R,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,x_S_x,x_x_x,x_S_x,x_S_x,0
31610025,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_R,F_S_R,F_S_R,2,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,0
s31610023,3,F_S_x,F_S_x,F_x_x,F_S_x,F_S_x,1,F_S_x,x_x_x,F_S_x,F_S_x,F_S_x,0,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,0
31710035,3,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,F_x_x,F_S_x,F_S_x,F_x_x,0,x_x_x,x_x_x,F_S_x,x_x_x,x_x_x,0
31710105,3,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,x_x_x,F_S_x,x_x_x,F_S_x,F_S_R,1,F_x_x,x_x_x,x_S_x,x_S_x,x_S_x,0
s31710125,3,F_S_x,F_S_R,F_S_x,x_x_R,F_x_R,0,F_x_x,F_S_x,F_S_x,F_S_x,x_S_x,0,x_S_x,x_S_x,x_x_x,x_S_x,x_S_x,0
31610097,3,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,0
s31710137,3,F_S_x,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,0,x_S_x,x_x_x,x_S_x,x_S_x,x_S_x,0
