cluster2,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R
0,0.0,62.5,0.0,12.5,62.5,12.5,0.0,62.5,25.0,12.5,75.0,0.0,0.0,37.5,12.5
1,0.0,0.0,100.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0
2,6.66666666666666,60.0,0.0,13.33333333333333,53.333333333333336,100.0,13.33333333333333,60.0,93.33333333333333,13.33333333333333,60.0,100.0,13.33333333333333,53.333333333333336,100.0
3,0.0,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,100.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,100.0
4,0.0,33.33333333333333,0.0,0.0,0.0,100.0,0.0,33.33333333333333,100.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0
5,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0
6,0.0,46.15384615384615,100.0,7.69230769230769,61.53846153846154,100.0,7.69230769230769,53.84615384615385,100.0,7.69230769230769,76.92307692307693,100.0,7.69230769230769,76.92307692307693,100.0
7,0.0,33.33333333333333,0.0,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,100.0,33.33333333333333,33.33333333333333,0.0
