cluster1,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R
0,100.0,85.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,90.0,0.0
1,87.5,75.0,0.0,100.0,100.0,0.0,87.5,25.0,25.0,87.5,87.5,0.0,100.0,100.0,0.0
2,80.0,80.0,0.0,100.0,20.0,20.0,80.0,80.0,0.0,80.0,80.0,0.0,100.0,100.0,0.0
3,25.0,100.0,25.0,100.0,100.0,0.0,100.0,100.0,0.0,75.0,75.0,0.0,100.0,75.0,0.0
4,75.0,25.0,0.0,75.0,50.0,0.0,75.0,50.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0
5,50.0,50.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,50.0,100.0,50.0,100.0,100.0,0.0
6,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0
7,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0
8,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
9,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0
10,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
