"InputID","day","1_1","1_2","1_3","1_4","1_5","2_1","2_2","2_3","2_4","2_5","3_1","3_2","3_3","3_4","3_5"
"31710071",3,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_x","F_S_R","F_S_R","x_S_x","x_S_R","x_S_R","x_S_x","x_S_R"
"31710061",3,"F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","x_x_x","x_S_x","x_S_x","x_x_x"
"S31610012",3,"F_x_x","F_x_x","F_S_x","F_S_x","F_S_x","x_x_x","x_x_x","F_S_x","F_S_R","F_S_x","F_x_x","x_x_x","x_x_x","x_x_x","x_x_x"
"3161014",3,"F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_x_x","F_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x"
"31610016",3,"F_S_x","F_x_x","F_S_x","F_x_x","F_S_R","F_S_x","F_S_x","F_S_x","F_S_x","F_x_x","F_x_x","x_x_x","x_x_x","x_x_x","x_x_x"
"31410196",3,"F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","x_x_x","x_x_x","x_S_x","x_S_x","x_S_x"
"31710135",3,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_S_x","x_S_x","x_S_x","x_S_x","x_S_x"
"31410011",3,"F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_x","x_S_x","F_x_x","x_x_x","x_S_R"
"31610007",3,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_x_x","F_x_x","x_x_R","x_S_x","x_S_R"
"31210101",3,"x_x_x","F_S_x","F_S_x","F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","x_x_x","x_S_x","x_S_x","x_S_x"
