cluster2,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R
0,7,6,0,0,13,4,0,13,5,0,13,5,0,12,4
1,0,2,0,0,4,0,0,4,3,0,0,0,0,4,2
2,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0
3,0,2,0,0,2,0,0,2,1,0,1,1,0,0,0
4,5,5,0,1,0,0,0,6,1,0,6,3,0,6,1
5,0,10,2,0,10,2,0,10,4,0,10,2,0,10,1
6,0,2,0,0,0,0,0,1,0,0,2,0,0,2,0
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0
9,2,2,0,0,2,0,0,0,0,0,2,1,0,2,1
10,0,2,1,0,2,0,0,0,0,0,2,0,0,2,0
11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
