,InputID,day,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R,cluster0,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R,cluster1,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R,cluster2
18,31610135,3,F,S,x,F,S,x,F,S,x,F,S,x,x,x,x,2,F,S,R,F,S,x,F,x,x,F,S,x,x,x,x,0,x,S,x,x,S,x,x,S,x,x,S,x,x,S,x,4
19,31710002,3,x,x,x,F,x,x,x,S,x,F,S,R,x,x,x,7,F,S,x,F,S,R,F,S,x,F,S,x,F,S,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6
20,31610052,3,x,S,x,F,S,x,F,S,x,F,S,x,F,S,x,1,x,x,x,x,x,x,F,S,x,F,S,x,F,S,x,6,x,S,R,x,S,R,x,S,R,x,S,R,x,S,x,4
21,31510156,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,R,F,S,x,F,S,x,F,S,x,F,S,x,0,F,x,x,x,S,x,x,x,x,x,S,x,x,S,x,2
22,31610025,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,R,F,S,R,F,S,R,9,x,S,x,x,S,x,x,S,x,x,S,x,x,S,x,4
23,s31610023,3,F,S,x,F,S,x,F,x,x,F,S,x,F,S,x,3,F,S,x,x,x,x,F,S,x,F,S,x,F,S,x,6,x,S,x,x,S,x,x,S,x,x,S,x,x,S,x,4
24,31710035,3,F,x,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,x,x,F,x,x,F,S,x,F,S,x,F,x,x,4,x,x,x,x,x,x,F,S,x,x,x,x,x,x,x,6
25,31710105,3,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,8,x,x,x,F,S,x,x,x,x,F,S,x,F,S,R,3,F,x,x,x,x,x,x,S,x,x,S,x,x,S,x,0
26,s31710125,3,F,S,x,F,S,R,F,S,x,x,x,R,F,x,R,10,F,x,x,F,S,x,F,S,x,F,S,x,x,S,x,3,x,S,x,x,S,x,x,x,x,x,S,x,x,S,x,2
27,31610097,3,F,S,x,F,S,x,F,S,x,F,S,x,x,x,x,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,x,x,x,x,S,x,x,S,x,x,S,x,x,S,x,5
28,s31710137,3,F,S,x,F,S,x,F,S,x,F,x,x,F,S,x,11,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,6,x,S,x,x,x,x,x,S,x,x,S,x,x,S,x,0
29,31710129,3,F,S,x,F,S,x,F,x,x,F,S,x,F,S,x,3,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,6,x,S,x,x,S,x,x,x,x,F,S,x,x,S,x,8
30,31510062,3,x,x,x,F,S,x,F,x,x,F,S,x,x,x,x,3,F,S,x,x,S,x,F,S,x,F,x,x,F,x,x,2,x,x,x,x,S,R,x,S,R,x,x,R,x,S,R,1
31,31710165,3,F,S,x,F,S,x,F,S,x,F,S,x,F,x,x,2,F,S,x,F,S,x,F,S,x,F,x,x,F,S,x,1,F,x,x,x,S,x,x,S,x,x,S,x,x,S,x,5
32,31710112,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,F,S,x,x,S,x,x,S,x,x,S,x,x,S,x,5
33,31710156,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,x,x,x,x,x,1,F,x,x,F,x,R,x,S,x,x,x,x,x,S,x,1
34,31710086,3,x,S,x,F,S,x,F,S,x,F,x,x,F,S,x,1,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,x,x,x,x,S,x,x,S,x,x,S,x,x,S,x,5
35,31610121,3,F,S,x,F,S,x,F,S,x,F,S,x,F,x,x,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,x,x,x,x,S,x,x,S,x,x,S,x,x,S,x,5
36,31710074,3,x,x,x,F,x,x,F,S,x,F,x,x,F,S,x,5,F,x,x,F,S,x,F,S,x,x,x,x,F,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6
37,s31710042,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,R,F,S,R,F,S,R,x,x,R,7,F,x,x,x,x,x,x,S,x,x,S,x,x,S,x,0
