,InputID,day,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R,cluster0,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R,cluster1,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R,cluster2
0,31710071,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,R,F,S,R,F,S,x,F,S,R,F,S,R,11,x,S,x,x,S,R,x,S,R,x,S,x,x,S,R,4
1,31710061,3,F,S,x,F,x,x,F,S,x,F,x,x,F,S,x,5,F,x,x,F,S,x,F,x,x,F,S,x,F,S,x,0,F,S,x,x,x,x,x,S,x,x,S,x,x,x,x,10
2,S31610012,3,F,x,x,F,x,x,F,S,x,F,S,x,F,S,x,0,x,x,x,x,x,x,F,S,x,F,S,R,F,S,x,5,F,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6
3,3161014,3,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,8,F,S,x,F,S,x,F,S,x,F,x,x,F,x,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6
4,31610016,3,F,S,x,F,x,x,F,S,x,F,x,x,F,S,R,9,F,S,x,F,S,x,F,S,x,F,S,x,F,x,x,1,F,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6
5,31410196,3,F,S,x,F,S,x,F,S,x,F,x,x,F,S,x,11,F,S,x,F,S,x,F,S,x,F,S,x,F,S,R,3,x,x,x,x,x,x,x,S,x,x,S,x,x,S,x,0
6,31710135,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,x,S,x,x,S,x,x,S,x,x,S,x,x,S,x,4
7,31410011,3,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,8,F,S,x,F,S,x,F,S,x,F,S,x,F,S,R,3,F,S,x,x,S,x,F,x,x,x,x,x,x,S,R,11
8,31610007,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,F,x,x,F,x,x,x,x,R,x,S,x,x,S,R,9
9,31210101,3,x,x,x,F,S,x,F,S,x,F,S,x,F,S,x,0,F,x,x,F,x,x,F,S,x,F,S,x,F,S,x,0,F,x,x,x,x,x,x,S,x,x,S,x,x,S,x,0
10,31710167,3,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,8,F,x,x,F,x,x,F,x,x,F,S,x,F,x,x,4,F,x,x,x,x,x,F,S,x,x,x,R,x,x,x,6
11,31510074,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,F,x,x,x,S,x,x,S,x,x,S,x,x,S,x,5
12,31610044,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,F,S,x,x,x,x,x,S,x,x,x,x,x,x,x,7
13,31710150,3,F,S,x,F,S,x,F,x,x,F,S,x,F,S,x,3,F,x,x,F,S,x,F,S,x,F,S,x,F,S,x,0,F,x,x,x,x,x,x,S,x,x,x,x,x,x,x,7
14,31710148,3,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,F,x,x,x,x,x,x,x,x,x,S,x,x,x,x,3
15,31510058,3,F,S,R,F,S,R,F,S,x,F,S,x,x,x,x,6,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,10,x,S,x,x,x,x,F,S,x,x,S,x,x,x,x,3
16,31710046,3,F,S,x,x,x,x,x,x,x,F,S,x,F,S,x,3,x,S,x,F,S,x,F,S,x,F,S,x,F,S,R,8,x,x,x,x,S,x,x,S,x,x,S,x,x,S,x,5
17,31710096,3,F,S,x,F,S,x,F,S,x,F,x,x,F,S,x,11,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,6,F,x,x,x,x,x,x,x,x,x,S,x,x,S,x,9
