cluster0,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R
0,7,7,2,8,8,7,8,8,8,8,8,8,8,8,8
1,7,7,0,7,7,0,7,7,3,6,6,5,7,7,4
2,0,2,2,2,2,1,2,2,1,2,2,1,2,2,1
3,3,3,0,0,0,0,3,3,0,3,3,1,3,3,0
4,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0
5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
6,9,9,0,9,9,0,9,9,0,9,9,0,9,9,0
7,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
8,2,2,0,2,2,0,0,1,0,2,2,0,2,2,0
