,InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
34,31710117,5,F_S_x,F_x_x,F_S_x,F_S_x,x_x_x,0,F_x_x,F_S_x,F_S_x,F_S_x,x_S_x,2,x_x_x,x_x_R,x_x_R,x_x_R,x_x_x,7
42,31710165,5,F_S_x,F_x_x,F_S_x,F_S_x,F_x_x,0,F_S_x,F_S_R,x_S_x,F_S_x,F_S_x,5,x_S_x,x_S_x,x_S_R,x_S_x,x_x_x,8
45,31610121,5,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,0,F_x_x,F_x_x,F_S_x,F_S_x,F_S_x,11,x_S_x,x_S_x,x_S_x,x_S_R,x_S_x,0
0,31710071,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,1,F_S_R,F_S_R,F_S_x,F_S_x,F_S_x,3,x_x_R,x_S_x,x_S_x,x_S_x,x_S_x,9
1,31510207,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_x_x,x_x_R,x_x_R,x_x_R,x_x_R,1
7,31710023,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_R,F_S_R,F_S_x,3,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,3
9,31410196,5,F_S_x,F_S_x,x_x_x,F_S_x,F_S_x,1,F_S_R,x_S_R,F_S_R,F_S_R,F_S_R,1,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
10,31710135,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,14
13,31410170,5,F_S_x,x_x_x,F_S_R,F_S_x,F_S_x,1,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,1,x_S_x,x_S_R,x_S_R,x_x_R,x_S_R,1
14,3161013,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,4,x_S_x,x_S_x,x_S_x,x_S_x,x_S_R,13
16,31510074,5,F_S_x,F_S_x,F_S_x,F_S_R,F_S_R,1,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,1,x_x_R,F_x_R,F_x_R,F_x_R,F_x_R,6
18,31710150,5,F_S_x,F_S_x,F_S_R,F_S_x,F_S_R,1,F_S_x,F_x_R,F_S_R,F_S_x,F_S_x,1,x_S_x,x_S_R,x_S_R,x_S_R,x_x_R,1
19,31710148,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_S_x,x_x_R,x_x_R,x_x_R,x_x_x,7
20,31510058,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_R,x_S_R,x_S_R,x_S_R,F_S_x,8,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
21,31710046,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,x_S_x,F_S_x,3,x_x_R,x_S_R,x_x_R,x_S_R,x_S_R,6
22,31710096,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,x_S_x,F_S_x,x_S_x,F_x_x,14,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,3
24,31710002,5,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,1,x_S_x,x_x_x,x_x_x,x_x_x,x_x_x,4,x_x_x,x_x_x,x_x_x,x_S_x,x_S_x,3
30,s31710105,5,F_S_x,F_S_x,x_x_x,F_S_x,F_S_x,1,x_S_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_x_R,x_x_R,x_S_x,x_S_x,x_S_R,12
33,31710145,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,F_S_x,F_S_x,F_S_R,F_S_x,2,x_S_R,x_S_R,x_x_R,x_S_R,x_S_R,6
36,s31710111,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_R,F_S_x,F_S_x,F_S_x,F_S_x,3,x_x_x,x_x_R,x_S_R,x_x_x,x_S_x,5
37,31410123,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_R,F_S_x,3,x_S_x,x_S_x,x_S_R,x_S_R,x_S_R,10
39,31710143,5,x_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,x_x_R,x_x_x,x_x_R,6,x_x_R,x_x_x,x_x_x,x_x_R,x_x_x,4
47,31710042,5,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,1,x_x_x,x_S_x,x_x_x,x_x_x,F_S_x,4,x_S_x,F_x_R,x_x_x,F_x_x,x_x_x,15
28,31510156,5,F_S_x,F_S_x,F_S_x,x_S_x,F_S_x,2,x_x_R,F_S_R,x_x_x,F_S_x,F_S_x,0,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
35,3161097,5,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,2,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,4,x_x_x,x_x_x,x_x_x,x_x_R,x_x_x,0
40,31510173,5,F_S_x,F_S_x,F_S_x,x_x_x,F_S_x,2,x_S_x,F_x_x,F_S_x,F_S_x,F_S_x,11,x_S_x,x_S_x,x_S_x,x_S_x,x_x_x,3
6,31610028,5,F_x_R,F_S_R,F_S_R,F_S_R,F_S_R,3,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,1,x_x_R,x_S_R,x_S_R,x_S_R,x_S_R,6
23,31610075,5,F_S_R,F_x_R,F_S_R,F_S_R,F_S_R,3,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,1,x_S_R,x_x_R,x_S_R,x_S_R,x_S_R,6
29,31610025,5,F_S_R,F_S_R,F_S_R,F_S_R,x_S_R,3,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,1,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
44,31710086,5,F_S_x,x_x_R,x_S_R,x_S_R,x_S_R,4,F_S_x,F_S_R,x_S_R,x_S_R,x_S_R,12,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,6
46,31710074,5,x_x_x,x_x_R,x_x_R,x_x_R,x_x_R,4,x_x_R,x_x_R,x_x_R,x_x_R,x_x_x,8,x_x_R,x_S_R,x_S_R,x_S_R,x_S_R,6
12,31210101,5,x_x_x,F_S_x,F_S_x,F_S_x,F_x_x,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,3,x_S_x,x_S_R,x_x_R,x_S_R,x_x_R,1
26,31710016,5,F_S_x,F_S_x,F_S_x,F_S_x,F_x_x,5,x_x_x,F_x_x,F_S_x,F_S_x,F_S_x,11,x_x_x,x_x_R,x_x_x,x_x_R,x_x_R,11
32,s31710125,5,x_x_x,F_S_x,F_S_x,F_S_x,F_x_x,5,x_S_R,F_x_x,F_S_x,F_x_x,F_S_x,9,x_S_x,x_x_R,x_S_R,x_S_R,x_S_R,1
15,31710167,5,x_x_x,F_S_R,F_S_R,F_x_R,F_S_R,6,F_x_x,x_x_R,x_x_x,x_x_x,x_x_R,7,x_x_x,x_S_R,x_x_R,x_x_x,x_x_R,2
17,72,5,F_S_x,F_S_R,F_x_R,F_S_R,F_S_R,6,F_x_R,F_S_R,F_S_R,F_S_R,F_S_R,1,x_x_R,x_x_R,x_x_R,x_S_R,x_S_R,6
25,31610052,5,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,6,F_S_R,F_S_R,F_S_R,F_S_x,F_S_x,3,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,6
4,31610124,5,x_x_R,F_S_R,F_S_R,F_S_R,F_S_x,7,F_S_x,F_S_x,F_S_x,F_S_x,x_S_x,3,x_x_x,x_x_x,x_x_R,x_x_x,x_x_R,2
38,s31710137,5,x_S_R,F_S_x,F_S_x,F_S_x,F_S_x,7,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_x_x,x_S_x,x_S_R,x_S_x,x_x_x,8
31,31710106,5,x_x_x,x_x_x,x_x_R,x_x_R,x_x_R,8,x_x_x,x_x_R,x_x_x,x_x_x,x_x_x,13,x_x_x,x_x_R,x_x_R,x_x_R,x_x_R,1
41,31510062,5,F_S_x,F_x_x,F_S_x,F_x_x,F_x_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_S_x,x_x_R,x_S_R,x_S_R,x_S_R,1
43,31710156,5,x_x_x,x_x_R,x_x_R,x_x_R,F_S_x,10,x_x_R,x_S_R,F_S_x,x_x_x,x_x_x,0,x_x_R,x_x_R,x_x_R,x_x_R,x_x_R,6
27,31610035,5,F_x_x,F_x_x,F_S_x,F_S_x,F_S_x,11,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_x_R,x_x_R,x_x_R,x_x_R,x_x_R,6
8,31610016,5,F_x_x,F_S_R,x_S_R,x_S_R,F_S_R,12,F_S_R,F_x_R,F_x_x,F_S_R,F_S_x,5,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,6
11,31410011,5,x_x_x,x_x_R,x_S_R,F_S_R,F_S_R,13,x_S_R,F_S_R,F_S_R,x_S_R,x_S_R,15,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,6
3,s31610012,5,F_x_x,F_S_x,F_S_x,x_S_x,F_S_x,14,x_x_R,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,x_S_R,x_S_R,x_S_R,x_S_R,1
5,31610158,5,F_x_x,F_S_x,F_S_x,x_S_x,F_S_x,14,x_x_x,x_x_x,x_x_x,x_x_R,x_x_R,10,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,14
