cluster1,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R
0,5,2,2,5,4,0,5,3,0,5,5,0,4,4,0
1,5,4,0,5,5,0,5,5,0,4,1,0,4,1,0
2,2,2,0,1,2,1,2,2,0,2,1,0,2,1,0
3,3,2,0,4,4,0,3,3,0,4,4,0,3,4,3
4,1,0,0,2,0,0,2,1,0,2,2,0,2,0,0
5,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0
6,4,4,0,3,0,0,5,5,0,5,5,0,5,5,0
7,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
8,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1
9,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
10,10,10,0,10,10,0,10,10,0,10,10,0,10,10,0
11,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
