cluster2,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R
0,0,5,0,1,5,1,0,5,2,1,6,0,0,3,1
1,0,0,2,0,1,0,0,1,0,0,1,1,0,1,0
2,1,9,0,2,8,15,2,9,14,2,9,15,2,8,15
3,0,1,0,0,2,1,0,1,3,0,1,1,0,1,3
4,0,1,0,0,0,3,0,1,3,0,0,2,0,1,0
5,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
6,0,6,13,1,8,13,1,7,13,1,10,13,1,10,13
7,0,1,0,0,1,0,1,1,1,1,1,3,1,1,0
