cluster0,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R
0,2,0,0,2,2,1,1,2,3,1,2,3,2,2,2
1,5,4,0,5,0,0,5,5,0,5,4,0,4,2,0
2,21,21,0,21,21,0,20,20,2,20,21,1,20,20,3
3,5,4,3,6,5,6,6,5,6,6,5,6,5,6,6
4,1,1,0,0,0,4,0,2,4,1,2,4,2,3,3
5,1,1,0,3,3,0,3,3,0,3,3,0,3,0,0
6,2,0,0,2,2,0,2,2,0,0,2,0,2,2,0
7,0,1,2,2,2,1,2,2,1,2,2,1,2,2,0
