cluster2,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R
0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
1,50.0,0.0,0.0,50.0,50.0,100.0,0.0,100.0,50.0,0.0,0.0,50.0,0.0,100.0,50.0
2,50.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
3,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
4,0.0,100.0,16.66666666666666,0.0,100.0,33.33333333333333,0.0,100.0,33.33333333333333,0.0,100.0,16.66666666666666,0.0,100.0,16.66666666666666
5,42.85714285714285,14.28571428571428,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0
6,42.85714285714285,0.0,0.0,0.0,0.0,0.0,28.57142857142857,28.57142857142857,0.0,0.0,0.0,14.28571428571428,0.0,0.0,0.0
7,100.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0
9,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,100.0,50.0
10,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
11,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
