,InputID,day,1_1,1_2,1_3,1_4,cluster0,2_1,2_2,2_3,2_4,3_1_x,cluster1,3_1_y,3_2,3_3,3_4,cluster2
0,31710071,1,F_S_x,F_S_x,x_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_S_x,F_x_R,2,F_x_R,x_S_x,F_x_x,x_S_x,2
1,31510207,1,F_S_x,F_x_x,x_x_x,F_x_x,0,F_S_R,F_S_R,F_x_x,F_S_x,F_x_x,0,F_x_x,x_x_x,x_x_x,x_x_x,2
2,31710039,1,F_S_x,F_x_x,F_x_x,F_S_x,0,F_S_R,F_S_x,F_x_x,F_S_x,x_x_x,1,x_x_x,x_S_x,x_x_x,F_x_x,2
3,31710061,1,F_S_R,F_S_x,F_x_x,x_x_x,1,F_S_R,F_S_x,F_x_x,x_x_x,F_x_R,1,F_x_R,x_x_x,x_x_x,x_S_x,2
4,31510139,1,F_S_x,F_S_x,F_x_x,F_S_R,2,F_S_x,F_S_R,x_x_x,F_S_x,x_S_R,0,x_S_R,x_S_x,x_x_x,x_S_x,1
5,31410011,1,F_S_x,F_x_x,F_x_x,F_S_x,0,F_S_x,F_x_x,F_x_x,F_x_x,x_S_x,0,x_S_x,F_S_x,x_x_x,x_x_x,2
6,31510187,1,x_S_x,F_S_x,x_x_x,F_S_x,0,x_S_x,x_x_x,x_x_x,F_S_R,x_x_R,2,x_x_R,x_x_x,x_x_x,x_x_x,1
7,31710135,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,x_x_x,x_x_R,2,x_x_R,x_S_x,x_x_x,x_S_x,1
8,31610160,1,x_S_R,F_S_x,x_x_x,F_S_x,1,F_S_R,F_S_x,F_x_x,F_S_x,F_x_R,1,F_x_R,x_S_x,x_x_x,x_S_x,2
9,31410196,1,F_S_x,F_S_R,F_x_x,F_S_x,0,F_S_R,F_S_x,F_x_x,F_S_x,F_x_R,1,F_x_R,F_x_x,x_x_x,x_S_x,2
10,31710143,1,F_S_R,F_S_x,x_x_x,x_x_x,1,x_x_x,x_x_x,F_x_x,F_S_x,x_x_x,2,x_x_x,F_x_x,x_x_x,x_x_x,0
11,31710117,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_x,x_x_x,x_x_x,F_x_R,1,F_x_R,F_x_x,x_x_x,x_x_x,0
12,s31610023,1,F_S_R,F_S_x,x_x_x,F_S_x,1,F_S_R,F_S_x,F_x_x,F_S_x,x_x_R,1,x_x_R,x_x_x,x_x_x,x_S_x,1
13,31510037,1,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_x,x_x_R,x_x_x,F_S_R,x_S_x,0,x_S_x,x_S_x,x_S_x,x_S_x,2
14,31710035,1,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_x,F_S_x,x_x_x,F_x_x,F_x_R,2,F_x_R,F_x_x,x_x_x,F_x_x,0
15,31610025,1,F_S_R,F_S_x,x_x_x,F_S_x,1,F_S_R,F_S_x,F_x_x,F_S_x,x_x_x,1,x_x_x,x_S_x,F_x_x,x_S_R,0
16,31510074,1,F_S_R,F_S_x,F_x_x,F_x_x,1,F_S_R,F_S_x,F_x_x,F_S_x,F_x_x,1,F_x_x,x_S_x,F_x_x,F_S_x,2
17,72,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_S_x,x_x_x,2,x_x_x,x_x_x,x_x_x,x_S_x,2
18,31710065,1,x_S_x,F_S_x,F_x_x,F_S_x,0,x_x_R,F_S_x,F_x_x,F_S_x,F_x_R,1,F_x_R,x_S_x,F_x_x,x_x_x,2
19,31610044,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,x_x_x,x_x_x,F_x_x,F_x_x,2,F_x_x,F_x_x,x_x_x,F_S_x,0
20,31710167,1,x_x_x,x_x_x,F_x_x,x_x_x,0,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,2,x_x_x,x_x_x,x_x_x,x_x_x,2
21,31610028,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_R,F_x_x,F_S_x,x_x_R,0,x_x_R,F_S_x,x_S_x,x_S_x,1
22,31610016,1,x_x_x,F_x_x,x_x_x,F_S_x,0,F_S_x,F_S_x,x_x_x,F_x_x,x_x_x,2,x_x_x,x_x_x,x_x_x,x_x_x,2
23,31710156,1,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_x,x_S_x,F_x_x,x_x_x,x_x_x,2,x_x_x,F_x_x,x_x_x,x_x_x,0
24,31610035,1,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_R,x_S_x,F_x_x,F_x_x,x_x_R,1,x_x_R,x_x_x,x_x_x,x_S_x,1
25,31610052,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_x_x,F_S_R,F_x_x,F_S_x,x_S_R,0,x_S_R,x_S_x,x_x_x,x_S_x,1
26,31610135,1,F_S_x,F_x_x,F_x_x,F_S_x,0,F_S_x,F_S_R,F_x_x,F_S_x,F_x_R,0,F_x_R,x_x_x,F_x_x,F_S_x,2
27,31510062,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_x_R,x_x_x,F_x_x,F_x_R,2,F_x_R,F_x_x,x_x_x,x_x_x,0
28,31310102,1,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_x,F_S_R,F_x_x,F_S_x,F_x_R,0,F_x_R,F_x_x,x_x_x,x_x_x,0
29,31510180,1,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_x,F_S_R,x_x_x,F_S_x,x_S_x,0,x_S_x,F_x_x,x_x_x,x_x_x,2
30,31710150,1,F_S_x,x_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_S_x,x_x_R,2,x_x_R,x_x_x,F_x_x,F_x_x,1
31,31710148,1,F_S_x,F_x_x,x_x_x,F_S_x,0,x_x_R,x_S_x,F_x_x,F_S_x,F_x_x,1,F_x_x,F_x_x,F_x_x,x_x_x,0
32,31610037,1,x_S_R,F_S_x,x_x_x,F_S_R,1,F_S_x,F_S_R,F_x_x,F_S_x,x_x_R,0,x_x_R,x_x_x,x_x_x,x_S_x,1
33,31710176,1,F_S_x,x_x_x,F_x_x,F_S_x,0,F_S_x,F_S_R,F_x_x,F_S_x,F_x_R,0,F_x_R,x_x_x,F_x_x,x_x_x,2
34,31710105,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,x_x_x,F_x_x,F_x_x,x_x_R,2,x_x_R,F_x_x,x_x_x,x_x_x,1
35,31610121,1,F_S_x,x_x_x,F_x_x,F_x_x,2,F_S_R,F_S_x,F_x_x,F_S_x,x_x_R,1,x_x_R,F_S_x,x_x_x,x_x_x,1
36,31710111,1,F_S_x,F_x_x,F_x_x,F_x_x,0,x_x_R,x_S_x,x_x_x,x_x_x,x_x_x,1,x_x_x,x_x_x,x_x_x,x_S_x,2
37,31710145,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_x_x,x_x_x,2,x_x_x,x_x_x,F_x_x,F_x_x,0
38,31710165,1,F_S_x,F_S_x,x_x_x,F_S_x,0,x_x_x,F_S_x,x_x_x,F_S_x,x_x_x,2,x_x_x,x_x_x,x_x_x,F_S_x,2
39,31710013,1,F_S_x,F_S_x,x_x_x,x_S_x,0,F_S_R,x_x_x,x_x_x,x_x_x,x_S_R,1,x_S_R,x_x_x,x_S_x,x_x_x,1
40,31710016,1,x_S_x,x_x_x,F_x_x,F_x_x,2,F_S_R,F_S_x,F_x_x,F_S_x,x_x_x,1,x_x_x,F_x_x,x_x_x,x_S_x,2
41,31510058,1,x_x_R,F_S_x,x_x_x,F_x_x,1,F_S_R,F_S_x,F_x_x,F_S_x,F_x_x,1,F_x_x,F_x_x,x_x_x,x_x_x,0
42,31710046,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_S_x,F_x_R,2,F_x_R,F_x_x,x_x_x,x_x_x,0
43,31710112,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_x_x,F_x_x,F_S_x,F_x_R,0,F_x_R,x_S_x,x_x_x,x_S_x,2
44,31710106,1,F_S_x,F_S_x,x_x_x,F_S_R,2,F_S_x,x_S_x,F_x_x,F_x_x,x_x_R,2,x_x_R,x_S_x,x_x_x,x_x_x,1
45,31710042,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,x_x_x,x_S_x,F_x_R,2,F_x_R,x_x_x,x_x_x,x_S_R,0
46,31410170,1,F_S_R,F_S_x,F_x_x,F_S_x,1,F_S_R,F_S_R,F_x_x,F_S_R,F_x_R,1,F_x_R,x_S_x,x_x_x,x_x_x,2
47,31610124,1,F_S_R,F_S_x,F_x_x,F_S_x,1,F_S_x,F_x_x,F_x_x,F_S_x,x_x_x,0,x_x_x,x_x_x,x_S_x,F_x_x,0
48,31610007,1,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_x,F_S_x,F_x_x,F_S_x,x_x_x,2,x_x_x,F_x_x,F_x_x,F_x_x,0
49,31510147,1,F_S_x,F_S_x,x_x_x,F_x_x,2,F_S_R,F_x_x,F_x_x,x_S_x,x_x_x,0,x_x_x,x_x_x,F_x_x,x_S_x,2
50,31610001,1,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_x_x,F_x_x,2,F_x_x,F_x_x,x_x_x,x_x_x,0
51,31710002,1,x_x_R,F_S_x,F_x_x,F_S_x,1,F_S_R,x_S_R,F_x_x,F_S_x,x_x_R,0,x_x_R,F_x_x,x_x_x,F_S_x,1
52,31710096,1,F_S_x,F_x_x,F_x_x,F_x_x,0,F_S_R,F_S_x,x_x_x,F_S_x,x_x_R,1,x_x_R,x_x_x,x_x_x,x_x_x,1
53,31610079,1,x_S_R,F_S_x,F_x_x,F_S_x,1,F_S_R,F_S_x,F_x_x,F_S_x,x_S_R,1,x_S_R,x_x_x,x_x_x,x_x_x,1
54,31710101,1,x_S_R,F_x_x,x_x_x,F_S_x,1,F_S_R,x_x_x,F_x_x,F_S_R,F_x_x,1,F_x_x,F_x_x,x_x_x,F_x_x,0
