,InputID,day,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R,cluster0,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R,cluster1,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R,cluster2
0,31710071,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,9,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,x,x,x,S,x,x,S,x,x,S,x,x,S,x,0
1,31510207,4,F,x,x,F,S,x,F,S,x,F,S,x,F,S,x,1,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,x,x,x,S,x,x,S,R,x,S,x,x,S,x,0
2,31710039,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,9,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,F,S,x,x,x,x,x,S,x,x,S,x,x,S,x,4
3,s31610012,4,F,x,x,F,x,x,F,S,x,F,S,R,F,S,x,11,F,x,x,F,S,x,F,S,x,F,S,x,F,x,x,0,F,S,x,x,S,x,x,S,x,x,x,x,x,x,x,8
4,31610158,4,F,S,x,F,S,x,x,x,x,F,S,R,F,x,x,0,F,S,x,F,S,x,F,x,x,F,S,x,F,S,x,1,x,x,x,x,x,x,x,S,x,x,x,x,x,x,x,8
5,31710023,4,F,x,x,F,S,x,F,S,x,F,S,x,F,S,x,1,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,2,x,x,x,x,S,x,x,S,x,x,S,x,x,S,x,0
6,31610016,4,x,x,x,x,x,x,F,S,x,x,x,x,F,S,R,2,x,x,x,F,S,R,F,S,x,x,x,x,F,S,x,2,F,S,x,F,x,x,x,S,R,x,S,R,x,S,R,4
7,31410196,4,F,S,R,F,S,x,F,S,x,F,S,x,F,S,x,3,F,S,R,F,S,x,x,S,x,F,S,x,F,S,R,7,x,S,x,x,S,x,x,S,R,x,S,x,x,S,x,5
8,31710135,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,9,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,S,x,x,x,x,x,x,x,x,S,x,x,S,x,6
9,31410011,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,9,F,S,x,F,S,x,F,S,R,x,x,x,F,S,x,1,x,S,R,x,S,x,x,S,R,x,S,x,x,S,x,5
10,31610007,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,9,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7
11,31210101,4,F,S,x,F,S,x,F,x,x,F,S,R,F,S,R,0,F,S,x,x,x,x,F,S,x,F,x,x,x,x,x,4,F,S,x,x,x,x,x,S,x,x,S,x,x,S,x,4
12,31410170,4,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,8,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,F,S,x,x,S,R,x,S,R,x,S,R,x,S,R,0
13,31610164,4,F,S,x,x,x,x,F,S,x,F,S,x,F,S,x,8,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,S,x,x,S,x,x,S,x,x,S,R,x,x,x,3
14,31710167,4,F,S,x,F,S,x,F,x,x,x,S,x,F,S,x,6,F,S,x,F,x,x,x,x,x,F,S,x,F,S,x,2,x,S,x,x,S,x,x,S,R,x,x,x,x,x,x,3
15,31510074,4,F,S,x,F,S,x,F,S,R,F,S,x,F,S,x,10,F,S,R,F,S,R,x,x,x,F,S,x,F,S,R,9,x,x,x,x,S,x,x,S,R,x,x,x,x,S,R,1
16,31610044,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,9,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,x,x,x,x,x,x,S,x,x,S,R,x,S,x,4
17,72,4,F,S,x,x,S,x,F,S,x,F,S,x,F,S,x,4,x,x,x,F,S,x,F,S,x,F,x,x,F,S,x,4,F,S,x,x,S,R,x,S,R,x,S,R,x,S,R,0
18,31710065,4,F,S,x,x,S,x,F,S,x,F,S,x,F,S,x,4,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,0,x,S,R,x,S,x,x,x,x,x,S,x,x,S,x,10
19,31710150,4,x,x,x,x,S,x,F,S,x,F,S,x,F,S,x,4,x,x,x,F,S,x,F,S,R,F,S,R,F,S,x,10,x,x,x,x,x,x,x,x,R,x,x,x,x,S,R,11
