cluster0,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R
0,4,3,0,4,4,0,3,2,0,4,4,4,4,3,3
1,5,0,0,8,8,0,8,7,0,8,8,0,8,8,0
2,1,1,0,1,1,0,2,2,0,1,1,0,2,1,1
3,3,4,3,4,3,0,4,4,0,4,4,0,4,4,0
4,2,2,0,0,3,0,3,3,0,3,3,0,3,3,0
5,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
6,2,2,0,2,2,0,2,1,0,0,2,0,2,2,0
7,2,2,0,2,2,0,2,1,0,2,0,0,2,2,0
8,3,3,0,3,0,0,4,4,0,4,4,0,3,3,0
9,17,17,0,17,17,0,17,17,0,17,17,0,17,17,0
10,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
11,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0
