cluster2,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R
0,14.28571428571428,0.0,14.28571428571428,42.85714285714285,28.57142857142857,42.85714285714285,71.42857142857143,14.28571428571428,71.42857142857143,57.14285714285714,28.57142857142857,85.71428571428571,71.42857142857143,14.28571428571428,71.42857142857143
1,0.0,0.0,100.0,0.0,100.0,50.0,0.0,100.0,100.0,0.0,50.0,0.0,0.0,100.0,100.0
2,50.0,0.0,100.0,75.0,0.0,50.0,75.0,0.0,75.0,25.0,0.0,75.0,50.0,0.0,75.0
3,0.0,33.33333333333333,100.0,0.0,50.0,100.0,0.0,66.66666666666666,100.0,0.0,66.66666666666666,100.0,0.0,66.66666666666666,100.0
4,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,100.0,0.0,33.33333333333333,100.0,33.33333333333333,0.0,100.0,0.0,33.33333333333333,100.0
5,83.33333333333334,0.0,66.66666666666666,100.0,0.0,91.66666666666666,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
