InputID,cluster0(3),cluster1(4),cluster2(4),clcl0(4),cluster3(4),cluster4(4),cluster5(3),clcl1(4),cluster6(4),cluster7(3),cluster8(2),clcl2(4),cluster9(3),cluster10(4),cluster11(2),clcl3(4)
31610164,,,,,,,,,0.0,2.0,0.0,0.0,,,,
31610035,,,,,,,,,,,,,2.0,3.0,0.0,2.0
31510173,,,,,,,,,,,,,0.0,1.0,0.0,0.0
31710039,,,,,,,,,3.0,1.0,0.0,1.0,,,,
s31710042,,,,,3.0,1.0,0.0,2.0,,,,,,,,
31610012,0.0,1.0,3.0,0.0,,,,,,,,,,,,
31610037,0.0,2.0,2.0,0.0,,,,,,,,,,,,
31410066,0.0,1.0,3.0,0.0,,,,,,,,,,,,
31510087,1.0,0.0,2.0,0.0,,,,,,,,,,,,
31610001,0.0,0.0,2.0,0.0,,,,,,,,,,,,
314110123,1.0,3.0,2.0,2.0,,,,,,,,,,,,
31510147,1.0,0.0,0.0,1.0,,,,,,,,,,,,
s3171037,1.0,0.0,1.0,3.0,,,,,,,,,,,,
S31610012,,,,,0.0,2.0,1.0,0.0,,,,,,,,
3161014,,,,,0.0,2.0,1.0,0.0,,,,,,,,
31710105,,,,,0.0,3.0,2.0,0.0,,,,,,,,
31510037,,,,,,,,,,,,,,,,
31710111,,,,,,,,,,,,,,,,
31610112,,,,,,,,,,,,,,,,
ばんごぁE10,,,,,,,,,,,,,,,,
