date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial
2017/10/30,14:32:38,0,31710071,1,1,0,PROB_BEGIN,0,0,0,0,0,1509341558,0,f,0,0,0,0,0,0,1
2017/10/30,14:32:48,1,31710071,1,1,1,SET,1,1,1,0,0,1509341558,0,f,0,0,0,0,0,0,1
2017/10/30,14:32:51,21,31710071,1,1,2,SET,2,2,1,2,0,1509341558,0,f,0,1,0,0,0,1,1
2017/10/30,14:32:55,321,31710071,1,1,3,SET,3,3,1,2,3,1509341558,0,s,1,1,1,1,1,5,1
2017/10/30,14:32:56,321,31710071,1,1,3,CHECK,0,0,1,2,3,1509341558,1,s,1,1,1,1,1,5,1
2017/10/30,14:32:56,321,31710071,1,1,3,PROB_END,0,0,1,2,3,1509341558,1,s,2,3,2,2,2,11,1
2017/10/30,14:32:56,0,31710071,1,2,0,PROB_BEGIN,0,0,0,0,0,1509341576,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:04,1,31710071,1,2,1,SET,1,1,1,0,0,1509341576,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:06,21,31710071,1,2,2,SET,2,2,1,2,0,1509341576,0,f,0,1,0,0,0,1,1
2017/10/30,14:33:11,321,31710071,1,2,3,SET,3,3,1,2,3,1509341576,0,s,1,1,1,1,1,5,1
2017/10/30,14:33:11,321,31710071,1,2,3,CHECK,0,0,1,2,3,1509341576,1,s,1,1,1,1,1,5,1
2017/10/30,14:33:12,321,31710071,1,2,3,PROB_END,0,0,1,2,3,1509341576,1,s,2,3,2,2,2,11,1
2017/10/30,14:33:12,0,31710071,1,3,0,PROB_BEGIN,0,0,0,0,0,1509341592,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:18,1,31710071,1,3,1,SET,1,1,1,0,0,1509341592,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:23,21,31710071,1,3,2,SET,2,2,1,2,0,1509341592,0,f,0,1,0,0,0,1,1
2017/10/30,14:33:25,321,31710071,1,3,3,SET,3,3,1,2,3,1509341592,0,s,1,1,1,1,1,5,1
2017/10/30,14:33:26,321,31710071,1,3,3,CHECK,0,0,1,2,3,1509341592,1,s,1,1,1,1,1,5,1
2017/10/30,14:33:26,321,31710071,1,3,3,PROB_END,0,0,1,2,3,1509341592,1,s,2,3,2,2,2,11,1
2017/10/30,14:33:26,0,31710071,1,4,0,PROB_BEGIN,0,0,0,0,0,1509341606,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:33,1,31710071,1,4,1,SET,1,1,1,0,0,1509341606,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:36,21,31710071,1,4,2,SET,2,2,1,2,0,1509341606,0,f,0,1,0,0,0,1,1
2017/10/30,14:33:39,321,31710071,1,4,3,SET,3,3,1,2,3,1509341606,0,s,1,1,1,1,1,5,1
2017/10/30,14:33:40,321,31710071,1,4,3,CHECK,0,0,1,2,3,1509341606,1,s,1,1,1,1,1,5,1
2017/10/30,14:33:40,321,31710071,1,4,3,PROB_END,0,0,1,2,3,1509341606,1,s,2,3,2,2,2,11,1
2017/10/30,14:33:40,0,31710071,1,5,0,PROB_BEGIN,0,0,0,0,0,1509341620,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:44,1,31710071,1,5,1,SET,1,1,1,0,0,1509341620,0,f,0,0,0,0,0,0,1
2017/10/30,14:33:49,21,31710071,1,5,2,SET,2,2,1,2,0,1509341620,0,f,0,1,0,0,0,1,1
2017/10/30,14:33:51,321,31710071,1,5,3,SET,3,3,1,2,3,1509341620,0,s,1,1,1,1,1,5,1
2017/10/30,14:33:51,321,31710071,1,5,3,CHECK,0,0,1,2,3,1509341620,1,s,1,1,1,1,1,5,1
2017/10/30,14:33:52,321,31710071,1,5,3,PROB_END,0,0,1,2,3,1509341620,1,s,2,3,2,2,2,11,1
2017/10/30,14:33:56,0,31710071,2,1,0,PROB_BEGIN,0,0,0,0,0,1509341636,0,f,0,0,0,0,0,0,1
2017/10/30,14:34:23,1,31710071,2,1,1,SET,1,1,1,0,0,1509341636,0,f,0,0,0,0,0,0,1
2017/10/30,14:34:25,21,31710071,2,1,2,SET,2,2,1,2,0,1509341636,0,f,0,1,0,0,0,1,1
2017/10/30,14:34:26,321,31710071,2,1,3,SET,3,3,1,2,3,1509341636,0,s,1,1,1,1,1,5,1
2017/10/30,14:34:27,321,31710071,2,1,3,CHECK,0,0,1,2,3,1509341636,1,s,1,1,1,1,1,5,1
2017/10/30,14:34:27,321,31710071,2,1,3,PROB_END,0,0,1,2,3,1509341636,1,s,2,3,2,2,2,11,1
2017/10/30,14:34:27,0,31710071,2,2,0,PROB_BEGIN,0,0,0,0,0,1509341667,0,f,0,0,0,0,0,0,1
2017/10/30,14:34:31,1,31710071,2,2,1,SET,1,1,1,0,0,1509341667,0,f,0,0,0,0,0,0,1
2017/10/30,14:34:38,21,31710071,2,2,2,SET,2,2,1,2,0,1509341667,0,f,0,1,0,0,0,1,1
2017/10/30,14:34:42,321,31710071,2,2,3,SET,3,3,1,2,3,1509341667,0,s,1,1,1,1,1,5,1
