,0
1_1,1.2941176470588236
1_2,1.2058823529411764
1_3,1.1470588235294117
1_4,1.0588235294117647
1_5,1.1764705882352942
2_1,1.2058823529411764
2_2,1.2352941176470589
2_3,1.0588235294117647
2_4,1.0294117647058822
2_5,1.0
3_1,2.5588235294117645
3_2,1.2941176470588236
3_3,1.088235294117647
3_4,1.088235294117647
3_5,1.1176470588235294
