date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial
2017/10/09,14:50:09,0,31710071,1,1,0,PROB_BEGIN,0,0,0,0,0,1507528209,0,f,0,0,0,0,0,0,1
2017/10/09,14:50:15,1,31710071,1,1,1,SET,1,1,1,0,0,1507528209,0,f,0,0,0,0,0,0,1
2017/10/09,14:50:53,21,31710071,1,1,2,SET,2,2,1,2,0,1507528209,0,f,0,0,0,0,0,0,1
2017/10/09,14:50:55,521,31710071,1,1,3,SET,3,5,1,2,5,1507528209,0,f,0,0,1,1,1,3,1
2017/10/09,14:50:55,521,31710071,1,1,3,CHECK,0,0,1,2,5,1507528209,1,f,0,0,1,1,1,3,1
2017/10/09,14:50:57,521,31710071,1,1,4,REMOVE,3,5,1,2,5,1507528209,1,f,0,0,1,1,1,3,1
2017/10/09,14:50:58,21,31710071,1,1,5,REMOVE,2,2,1,2,0,1507528209,1,f,0,0,0,0,0,0,1
2017/10/09,14:51:15,21,31710071,1,1,6,SET,2,2,1,2,0,1507528209,1,f,0,0,0,0,0,0,1
2017/10/09,14:51:16,321,31710071,1,1,7,SET,3,3,1,2,3,1507528209,1,s,1,1,1,1,1,5,1
2017/10/09,14:51:16,321,31710071,1,1,7,CHECK,0,0,1,2,3,1507528209,2,s,1,1,1,1,1,5,1
2017/10/09,14:51:17,0,31710071,1,2,0,PROB_BEGIN,0,0,0,0,0,1507528277,0,f,0,0,0,0,0,0,1
2017/10/09,14:51:26,1,31710071,1,2,1,SET,1,1,1,0,0,1507528277,0,f,0,0,0,0,0,0,1
2017/10/09,14:51:45,21,31710071,1,2,2,SET,2,2,1,2,0,1507528277,0,f,0,0,0,0,0,0,1
2017/10/09,14:51:46,321,31710071,1,2,3,SET,3,3,1,2,3,1507528277,0,s,1,1,1,1,1,5,1
2017/10/09,14:51:46,321,31710071,1,2,3,CHECK,0,0,1,2,3,1507528277,1,s,1,1,1,1,1,5,1
2017/10/09,14:51:47,0,31710071,1,3,0,PROB_BEGIN,0,0,0,0,0,1507528307,0,f,0,0,0,0,0,0,1
2017/10/09,14:52:03,1,31710071,1,3,1,SET,1,1,1,0,0,1507528307,0,f,0,0,0,0,0,0,1
2017/10/09,14:52:04,21,31710071,1,3,2,SET,2,2,1,2,0,1507528307,0,f,0,0,0,0,0,0,1
2017/10/09,14:52:09,321,31710071,1,3,3,SET,3,3,1,2,3,1507528307,0,s,1,1,1,1,1,5,1
2017/10/09,14:52:10,321,31710071,1,3,3,CHECK,0,0,1,2,3,1507528307,1,s,1,1,1,1,1,5,1
2017/10/09,14:52:10,0,31710071,1,4,0,PROB_BEGIN,0,0,0,0,0,1507528330,0,f,0,0,0,0,0,0,1
2017/10/09,14:52:38,300,31710071,1,4,1,SET,3,3,0,0,3,1507528330,0,f,0,1,0,0,0,1,1
2017/10/09,14:52:42,320,31710071,1,4,2,SET,2,2,0,2,3,1507528330,0,f,0,1,0,0,0,1,1
2017/10/09,14:52:44,321,31710071,1,4,3,SET,1,1,1,2,3,1507528330,0,s,1,1,1,1,1,5,1
2017/10/09,14:52:44,321,31710071,1,4,3,CHECK,0,0,1,2,3,1507528330,1,s,1,1,1,1,1,5,1
2017/10/09,14:52:45,0,31710071,1,5,0,PROB_BEGIN,0,0,0,0,0,1507528365,0,f,0,0,0,0,0,0,1
2017/10/09,14:53:05,1,31710071,1,5,1,SET,1,1,1,0,0,1507528365,0,f,0,0,0,0,0,0,1
2017/10/09,14:53:06,21,31710071,1,5,2,SET,2,2,1,2,0,1507528365,0,f,0,0,0,0,0,0,1
2017/10/09,14:53:09,521,31710071,1,5,3,SET,3,5,1,2,5,1507528365,0,f,0,0,1,1,1,3,1
2017/10/09,14:53:09,521,31710071,1,5,3,CHECK,0,0,1,2,5,1507528365,1,f,0,0,1,1,1,3,1
2017/10/09,14:53:10,521,31710071,1,5,4,REMOVE,3,5,1,2,5,1507528365,1,f,0,0,1,1,1,3,1
2017/10/09,14:53:13,321,31710071,1,5,5,SET,3,3,1,2,3,1507528365,1,s,1,1,1,1,1,5,1
2017/10/09,14:53:14,321,31710071,1,5,5,CHECK,0,0,1,2,3,1507528365,2,s,1,1,1,1,1,5,1
2017/10/09,14:53:16,0,31710071,2,1,0,LEVEL_BEGIN,0,0,0,0,0,1507528396,0,f,0,0,0,0,0,0,1
2017/10/09,14:53:16,0,31710071,2,1,0,PROB_BEGIN,0,0,0,0,0,1507528396,0,f,0,0,0,0,0,0,1
2017/10/09,14:53:35,300,31710071,2,1,1,SET,3,3,0,0,3,1507528396,0,f,0,1,0,0,0,1,1
2017/10/09,14:53:40,301,31710071,2,1,2,SET,1,1,1,0,3,1507528396,0,f,0,1,0,0,0,1,1
2017/10/09,14:53:40,321,31710071,2,1,3,SET,2,2,1,2,3,1507528396,0,s,1,1,1,1,1,5,1
2017/10/09,14:53:41,321,31710071,2,1,3,CHECK,0,0,1,2,3,1507528396,1,s,1,1,1,1,1,5,1
2017/10/09,14:53:42,0,31710071,2,2,0,PROB_BEGIN,0,0,0,0,0,1507528422,0,f,0,0,0,0,0,0,1
2017/10/09,14:54:08,300,31710071,2,2,1,SET,3,3,0,0,3,1507528422,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:14,301,31710071,2,2,2,SET,1,1,1,0,3,1507528422,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:14,321,31710071,2,2,3,SET,2,2,1,2,3,1507528422,0,s,1,1,1,1,1,5,1
2017/10/09,14:54:15,321,31710071,2,2,3,CHECK,0,0,1,2,3,1507528422,1,s,1,1,1,1,1,5,1
2017/10/09,14:54:15,0,31710071,2,3,0,PROB_BEGIN,0,0,0,0,0,1507528455,0,f,0,0,0,0,0,0,1
2017/10/09,14:54:22,300,31710071,2,3,1,SET,3,3,0,0,3,1507528455,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:26,301,31710071,2,3,2,SET,1,1,1,0,3,1507528455,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:28,321,31710071,2,3,3,SET,2,2,1,2,3,1507528455,0,s,1,1,1,1,1,5,1
2017/10/09,14:54:28,321,31710071,2,3,3,CHECK,0,0,1,2,3,1507528455,1,s,1,1,1,1,1,5,1
2017/10/09,14:54:29,0,31710071,2,4,0,PROB_BEGIN,0,0,0,0,0,1507528469,0,f,0,0,0,0,0,0,1
2017/10/09,14:54:36,300,31710071,2,4,1,SET,3,3,0,0,3,1507528469,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:41,301,31710071,2,4,2,SET,1,1,1,0,3,1507528469,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:42,321,31710071,2,4,3,SET,2,2,1,2,3,1507528469,0,s,1,1,1,1,1,5,1
2017/10/09,14:54:42,321,31710071,2,4,3,CHECK,0,0,1,2,3,1507528469,1,s,1,1,1,1,1,5,1
2017/10/09,14:54:43,0,31710071,2,5,0,PROB_BEGIN,0,0,0,0,0,1507528483,0,f,0,0,0,0,0,0,1
2017/10/09,14:54:50,300,31710071,2,5,1,SET,3,3,0,0,3,1507528483,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:56,301,31710071,2,5,2,SET,1,1,1,0,3,1507528483,0,f,0,1,0,0,0,1,1
2017/10/09,14:54:57,321,31710071,2,5,3,SET,2,2,1,2,3,1507528483,0,s,1,1,1,1,1,5,1
2017/10/09,14:54:58,321,31710071,2,5,3,CHECK,0,0,1,2,3,1507528483,1,s,1,1,1,1,1,5,1
2017/10/09,14:55:00,0,31710071,3,1,0,PROB_BEGIN,0,0,0,0,0,1507528500,0,f,0,0,0,0,0,0,1
2017/10/09,14:56:12,5,31710071,3,1,1,SET,1,5,5,0,0,1507528500,0,f,0,0,0,0,0,0,1
2017/10/09,14:56:32,5,31710071,3,1,2,REMOVE,1,5,5,0,0,1507528500,0,f,0,0,0,0,0,0,1
2017/10/09,14:56:33,500,31710071,3,1,3,SET,3,5,0,0,5,1507528500,0,f,0,0,0,0,0,0,1
2017/10/09,14:56:50,520,31710071,3,1,4,SET,2,2,0,2,5,1507528500,0,f,0,0,0,0,0,0,1
2017/10/09,14:56:51,521,31710071,3,1,5,SET,1,1,1,2,5,1507528500,0,f,0,0,1,1,1,3,1
2017/10/09,14:56:52,521,31710071,3,1,5,CHECK,0,0,1,2,5,1507528500,1,f,0,0,1,1,1,3,1
2017/10/09,14:57:13,521,31710071,3,1,6,REMOVE,2,2,1,2,5,1507528500,1,f,0,0,1,1,1,3,1
2017/10/09,14:58:25,501,31710071,3,1,7,REMOVE,1,1,1,0,5,1507528500,1,f,0,0,0,0,0,0,1
2017/10/09,14:58:27,500,31710071,3,1,8,REMOVE,3,5,0,0,5,1507528500,1,f,0,0,0,0,0,0,1
2017/10/09,14:58:36,200,31710071,3,1,9,SET,3,2,0,0,2,1507528500,1,f,0,0,0,0,0,0,1
2017/10/09,14:58:40,205,31710071,3,1,10,SET,1,5,5,0,2,1507528500,1,f,0,0,0,0,0,0,1
2017/10/09,14:58:42,215,31710071,3,1,11,SET,2,1,5,1,2,1507528500,1,f,0,0,1,1,1,3,1
2017/10/09,14:58:42,215,31710071,3,1,11,CHECK,0,0,5,1,2,1507528500,2,f,0,0,1,1,1,3,1
2017/10/09,14:58:53,215,31710071,3,1,12,REMOVE,1,5,5,1,2,1507528500,2,f,0,0,1,1,1,3,1
2017/10/09,14:58:56,213,31710071,3,1,13,SET,1,3,3,1,2,1507528500,2,s,1,1,1,1,1,5,1
2017/10/09,14:58:56,213,31710071,3,1,13,CHECK,0,0,3,1,2,1507528500,3,s,1,1,1,1,1,5,1
2017/10/09,14:58:57,0,31710071,3,2,0,PROB_BEGIN,0,0,0,0,0,1507528737,0,f,0,0,0,0,0,0,1
2017/10/09,14:59:22,3,31710071,3,2,1,SET,1,3,3,0,0,1507528737,0,f,0,1,0,0,0,1,1
2017/10/09,14:59:23,13,31710071,3,2,2,SET,2,1,3,1,0,1507528737,0,f,0,1,0,0,0,1,1
2017/10/09,14:59:27,213,31710071,3,2,3,SET,3,2,3,1,2,1507528737,0,s,1,1,1,1,1,5,1
2017/10/09,14:59:28,213,31710071,3,2,3,CHECK,0,0,3,1,2,1507528737,1,s,1,1,1,1,1,5,1
