InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
31210101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31410011,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
31410123,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
31410170,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
31410196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31510058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31510062,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1
31510074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31510173,1,1,1,1,1,1,2,1,1,1,4,1,1,1,3
31510207,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
31610016,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
31610021,2,1,1,1,3,1,1,1,1,3,NA,NA,NA,NA,NA
31610025,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
31610028,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31610035,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1
31610043,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31610044,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1
31610052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31610075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31610112,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31610121,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
31610124,1,2,2,2,1,1,1,1,1,2,3,2,2,1,1
3161013,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
31610158,2,1,1,1,1,3,4,1,1,1,1,1,1,1,2
3161097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31710002,1,1,1,1,1,2,2,1,2,1,1,1,3,1,2
31710016,1,1,1,1,1,4,2,1,1,1,2,2,2,1,1
31710023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31710042,1,1,1,1,2,3,1,1,1,1,2,1,1,1,4
31710046,1,1,1,1,1,1,1,1,3,1,3,1,2,1,1
31710061,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
31710071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31710074,5,1,1,1,1,1,1,1,1,1,11,1,5,1,1
31710086,2,3,1,1,2,1,2,1,1,1,1,1,1,1,1
31710092,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
31710096,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
31710106,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1
31710117,1,3,1,1,2,2,1,1,1,1,4,4,1,1,1
31710135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31710143,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1
31710145,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1
31710148,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
31710150,1,1,1,1,1,1,2,2,1,1,3,1,1,1,1
31710156,2,1,1,1,1,2,2,1,2,1,4,1,1,1,2
31710165,1,3,1,2,1,1,1,1,1,1,1,2,2,1,1
31710167,4,1,1,2,1,15,6,1,1,2,7,1,2,2,2
72,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
s31610012,1,1,1,1,1,6,3,1,1,1,8,1,3,2,2
s31710105,1,1,1,1,1,2,1,1,1,1,2,3,1,3,1
s31710111,1,1,1,1,1,1,1,1,1,2,3,4,1,2,1
s31710125,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1
s31710137,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
