InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
31210101,3,1,1,1,1,2,1,1,1,1,6,8,1,1,1
31410011,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1
31410196,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1
31510058,1,1,1,1,1,1,1,1,1,1,8,3,2,1,1
31510062,2,1,1,1,3,1,1,1,2,1,9,1,1,6,1
31510074,1,1,1,1,1,1,1,1,1,1,40,1,1,1,1
31510156,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1
31510207,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31610007,1,1,1,1,1,1,1,1,1,1,6,2,6,1,1
31610016,1,1,1,1,1,2,1,1,1,1,5,19,3,2,2
31610025,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
31610044,1,1,1,1,1,1,1,1,1,1,8,12,1,2,1
31610052,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31610079,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31610097,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1
31610121,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
31610135,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
3161014,1,1,1,1,1,1,1,1,2,1,16,9,5,2,2
31710002,1,1,2,1,1,1,1,1,1,1,4,16,2,3,2
31710035,2,1,1,1,1,4,3,1,1,2,6,42,3,12,3
31710046,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2
31710061,1,1,1,1,1,1,1,1,1,1,6,11,1,1,1
31710071,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
31710074,1,2,1,2,1,1,1,1,1,1,6,4,2,4,2
31710086,1,1,1,3,1,1,1,1,1,1,14,3,1,1,1
31710096,1,1,1,3,1,1,4,1,1,1,42,3,21,1,1
31710105,3,2,1,1,1,3,1,1,1,1,13,10,1,1,1
31710111,NA,NA,NA,NA,NA,1,1,1,1,2,12,30,11,7,5
31710112,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1
31710129,1,1,1,1,1,1,1,1,1,1,6,2,2,2,1
31710135,1,1,1,1,1,1,1,1,1,1,22,1,1,1,1
31710148,1,1,1,1,1,1,1,1,1,1,17,7,7,1,5
31710150,8,1,2,1,1,3,1,1,1,1,22,4,21,4,5
31710156,1,1,1,1,1,1,1,1,1,1,14,4,1,1,1
31710165,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1
31710167,1,2,1,1,1,2,1,2,1,1,12,6,2,12,8
S31610012,5,1,1,1,1,2,1,1,1,1,4,21,3,3,2
s31610023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s31710042,1,1,1,1,1,2,1,1,1,1,5,3,1,1,1
s31710125,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
s31710137,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
ばんごう,1,1,1,1,1,5,1,1,6,3,NA,NA,NA,NA,NA
