relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,16,6,10,9,8,18,15,15,12,14,27,30,21,24,25,250
0,1,28,39,36,33,37,23,30,28,32,31,14,11,11,13,14,380
1,0,5,4,3,7,4,8,4,6,5,4,8,8,17,12,10,105
All,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,735
