q,,,1_1,1_1,1_2,1_2,1_3,1_3,1_4,1_4,1_5,1_5,2_1,2_1,2_2,2_2,2_3,2_3,2_4,2_4,2_5,2_5,3_1,3_1,3_2,3_2,3_3,3_3,3_4,3_4,3_5,3_5,All
jdg,,,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,
relation_st,story_st,formula_st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,3,11,2,10,1,18,0,7,0,15,4,15,1,16,1,17,0,15,0,12,17,3,18,7,11,7,9,11,9,11,251
0,0,1,2,0,1,2,0,1,4,2,0,1,0,0,2,1,1,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,25
0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,5,2,13,1,14,1,12,59
0,1,1,0,18,0,21,0,17,0,22,1,18,2,10,0,15,0,17,0,15,0,15,3,0,0,0,1,0,0,0,0,0,175
1,0,0,1,1,0,2,0,0,1,2,1,2,3,3,0,3,0,2,1,4,0,9,4,1,2,3,1,3,2,1,0,5,57
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
All,,,7,31,3,35,2,36,5,33,2,36,10,28,3,35,2,36,2,36,1,37,32,6,23,15,15,23,12,26,10,28,570
