q,,1_1,1_1,1_2,1_2,1_3,1_3,1_4,1_4,1_5,1_5,2_1,2_1,2_2,2_2,2_3,2_3,2_4,2_4,2_5,2_5,3_1,3_1,3_2,3_2,3_3,3_3,3_4,3_4,3_5,3_5
jdg,,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s
relation_st,story_st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,6,19,0,11,0,12,0,12,1,7,3,13,2,15,0,22,2,21,3,22,12,15,2,9,3,8,4,6,2,9
0,1,2,17,0,23,0,24,1,21,1,22,4,12,2,6,0,11,1,8,0,9,2,3,0,3,0,1,0,3,1,1
1,0,2,6,7,11,1,15,4,14,5,16,5,15,8,18,1,17,2,18,3,15,6,11,7,28,7,30,4,32,5,31
