q,,,1_1,1_1,1_2,1_2,1_3,1_3,1_4,1_4,1_5,1_5,2_1,2_1,2_2,2_2,2_3,2_3,2_4,2_4,2_5,2_5,3_1,3_1,3_2,3_2,3_3,3_3,3_4,3_4,3_5,3_5,All
jdg,,,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,
relation_st,story_st,formula_st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,3,12,2,2,1,8,0,8,1,7,4,13,1,10,0,12,1,9,2,10,24,2,13,17,8,13,7,17,5,20,232
0,0,1,1,0,2,0,1,0,1,0,0,0,1,0,3,1,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,18
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,10,1,10,0,13,1,13,56
0,1,1,0,28,0,38,1,35,0,32,0,37,1,21,0,30,2,26,0,31,1,30,11,0,0,0,0,0,0,0,0,0,324
1,0,0,0,5,2,1,0,2,0,7,0,4,1,5,0,4,2,3,1,4,0,4,5,3,3,5,8,9,1,11,1,9,100
1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
All,,,4,45,8,41,4,45,2,47,1,48,9,40,4,45,7,42,4,45,5,44,41,8,17,32,17,32,8,41,7,42,735
