relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,17,7,10,9,9,21,17,18,13,15,29,30,23,25,26,269
0,1,30,42,39,36,41,24,33,30,35,35,14,11,11,13,14,408
1,0,7,5,5,9,4,9,4,6,6,4,8,10,17,13,11,118
All,,54,54,54,54,54,54,54,54,54,54,51,51,51,51,51,795
