q,,,1_1,1_1,1_2,1_2,1_3,1_3,1_4,1_4,1_5,1_5,2_1,2_1,2_2,2_2,2_3,2_3,2_4,2_4,2_5,2_5,3_1,3_1,3_2,3_2,3_3,3_3,3_4,3_4,3_5,3_5,All
jdg,,,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,
relation_st,story_st,formula_st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,4,18,0,10,0,10,0,12,1,6,3,11,2,13,0,21,2,19,3,21,11,15,2,9,3,8,4,6,2,9,225
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,2,3,0,3,0,1,0,3,1,1,19
0,1,1,2,15,0,20,0,22,1,18,1,20,1,11,1,6,0,11,0,8,0,9,0,0,0,0,0,0,0,0,0,0,146
1,0,0,2,6,5,11,1,15,4,13,3,15,5,14,6,17,1,15,2,16,2,13,5,10,6,25,7,27,3,30,4,29,312
1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,2,1,1,1,1,15
All,,,9,39,7,41,1,47,5,43,6,42,12,36,12,36,1,47,5,43,5,43,20,28,8,40,10,38,8,40,8,40,720
