relation_st,story_st,formula_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,0,15,12,19,8,15,22,17,20,17,13,20,24,18,19,18,257
0,0,1,2,4,1,7,1,0,4,1,3,2,4,1,1,2,3,36
0,1,0,3,0,1,0,0,1,0,0,0,0,4,8,15,15,13,60
0,1,1,19,23,20,23,22,13,16,18,16,16,3,0,1,0,0,190
1,0,0,2,2,0,3,3,6,5,3,6,11,4,6,4,3,5,63
1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
All,,,41,41,41,41,41,42,42,42,42,42,39,39,39,39,39,610
