q,,,1_1,1_1,1_2,1_2,1_3,1_3,1_4,1_4,1_5,1_5,2_1,2_1,2_2,2_2,2_3,2_3,2_4,2_4,2_5,2_5,3_1,3_1,3_2,3_2,3_3,3_3,3_4,3_4,3_5,3_5
jdg,,,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s
relation_st,story_st,formula_st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,3,12,2,3,1,8,0,8,1,8,4,16,1,11,0,14,1,10,2,11,25,2,13,17,10,13,8,17,5,21
0,0,1,2,0,2,0,1,0,1,0,0,0,1,0,4,1,3,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,10,1,10,0,13,1,13
0,1,1,0,30,0,41,1,38,0,35,0,41,1,22,0,33,2,28,0,34,2,33,11,0,0,0,0,0,0,0,0,0
1,0,0,1,6,2,2,0,4,0,9,0,4,1,6,0,4,2,3,1,5,0,4,5,3,5,5,8,9,1,12,2,9
1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
