relation_st,story_st,formula_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,0,24,11,12,12,7,15,17,22,23,24,24,11,11,10,11,234
0,0,1,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,7
0,1,0,0,0,0,0,0,3,1,0,1,0,5,3,1,3,2,19
0,1,1,19,23,24,22,23,13,7,11,8,9,0,0,0,0,0,159
1,0,0,8,16,16,18,20,20,24,18,20,17,12,22,23,14,23,271
1,0,1,0,2,0,0,1,0,2,0,0,1,5,13,14,22,13,73
All,,,52,52,52,52,52,52,51,51,52,52,49,49,49,49,49,763
