relation_st,story_st,formula_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,0,15,5,9,8,9,20,12,13,11,13,22,25,17,20,20,219
0,0,1,2,2,1,1,0,1,5,5,2,2,7,5,6,5,6,50
0,1,0,0,1,0,1,0,1,0,0,1,0,3,11,11,13,14,56
0,1,1,30,41,39,35,41,23,33,30,34,35,11,0,0,0,0,352
1,0,0,7,4,4,9,4,7,4,5,6,4,8,10,17,13,11,113
1,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,5
All,,,54,54,54,54,54,54,54,54,54,54,51,51,51,51,51,795
