relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,15,14,11,6,8,5,9,6,4,9,5,7,3,1,2,105
0,1,18,16,13,14,12,9,9,7,6,2,0,1,0,2,0,109
1,0,7,10,16,20,17,25,21,26,29,25,32,28,33,33,32,354
All,,40,40,40,40,37,39,39,39,39,36,37,36,36,36,34,568
