relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,17,16,20,15,16,22,21,21,20,15,24,25,19,21,21,293
0,1,22,23,21,23,22,14,16,18,16,16,7,8,16,15,13,250
1,0,2,2,0,3,3,6,5,3,6,11,8,6,4,3,5,67
All,,41,41,41,41,41,42,42,42,42,42,39,39,39,39,39,610
