relation_st,story_st,formula_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
0,0,0,15,4,9,8,8,17,11,12,10,12,26,30,21,24,25
0,0,1,1,2,1,1,0,1,4,3,2,2,1,0,0,0,0
0,1,0,0,1,0,1,0,1,0,0,1,0,3,11,11,13,14
0,1,1,28,38,36,32,37,22,30,28,31,31,11,0,0,0,0
1,0,0,5,3,2,7,4,6,4,5,5,4,8,8,17,12,10
1,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0
