relation_st,story_st,formula_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
0,0,0,14,12,19,7,15,19,17,18,15,12,20,25,18,20,20
0,0,1,2,3,1,6,1,0,3,1,3,2,3,0,0,0,0
0,1,0,2,0,1,0,0,1,0,0,0,0,4,8,15,15,13
0,1,1,18,21,17,22,19,12,15,17,15,15,3,0,1,0,0
1,0,0,2,2,0,3,3,6,3,2,5,9,5,5,4,3,5
1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
