relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,25,11,12,12,8,16,17,22,23,25,27,11,11,10,11,241
0,1,19,23,24,22,23,16,8,11,9,9,5,3,1,3,2,178
1,0,8,18,16,18,21,20,26,18,20,18,17,35,37,36,36,344
All,,52,52,52,52,52,52,51,51,52,52,49,49,49,49,49,763
