relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,14,12,9,6,7,4,9,4,4,9,5,6,3,1,2,95
0,1,15,13,11,11,12,7,5,5,5,2,0,1,0,1,0,88
1,0,5,9,14,17,15,23,20,25,25,23,29,27,31,32,32,327
All,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,510
