relation_st,story_st,formula_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
0,0,0,22,10,10,12,7,13,15,21,21,23,24,11,11,10,11
0,0,1,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0
0,1,0,0,0,0,0,0,3,1,0,1,0,5,3,1,3,2
0,1,1,17,20,22,19,21,12,7,11,8,9,0,0,0,0,0
1,0,0,8,16,16,17,18,19,23,16,18,15,11,21,22,13,22
1,0,1,0,2,0,0,1,0,2,0,0,0,5,13,14,22,13
