relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,16,15,20,13,16,19,20,19,18,14,23,25,18,20,20,276
0,1,20,21,18,22,19,13,15,17,15,15,7,8,16,15,13,234
1,0,2,2,0,3,3,6,3,2,5,9,8,5,4,3,5,60
All,,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,570
