relation_st,story_st,formula_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,0,15,14,11,6,8,5,9,6,4,9,5,7,3,1,2,105
0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,7
0,1,1,16,16,13,14,12,9,9,7,6,0,0,0,0,0,0,102
1,0,0,7,10,16,20,17,25,21,26,29,25,21,15,8,14,9,263
1,0,1,0,0,0,0,0,0,0,0,0,0,11,13,25,19,23,91
All,,,40,40,40,40,37,39,39,39,39,36,37,36,36,36,34,568
