relation_st,story_st,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
0,0,23,10,10,12,8,14,15,21,21,24,27,11,11,10,11,228
0,1,17,20,22,19,21,15,8,11,9,9,5,3,1,3,2,165
1,0,8,18,16,17,19,19,25,16,18,15,16,34,36,35,35,327
All,,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,720
