q,,1_1,1_1,1_2,1_2,1_3,1_3,1_4,1_4,1_5,1_5,2_1,2_1,2_2,2_2,2_3,2_3,2_4,2_4,2_5,3_1,3_1,3_2,3_2,3_3,3_3,3_4,3_4,3_5,3_5
jdg,,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,s,f,s,f,s,f,s,f,s,f,s
relation_st,story_st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,15,5,14,3,11,0,6,1,8,1,5,5,9,2,6,0,4,9,9,5,11,7,2,3,0,1,1,2
0,1,5,18,2,16,2,13,2,14,5,12,5,9,2,9,1,7,1,6,2,0,0,2,1,0,0,0,2,0,0
1,0,1,7,0,10,0,16,1,20,0,17,1,25,1,21,1,26,0,29,25,47,32,22,28,14,33,5,33,3,32
