q,,1_1,1_1,1_2,1_2,1_3,1_3,1_4,1_4,1_5,1_5,2_1,2_1,2_2,2_2,2_3,2_3,2_4,2_4,2_5,2_5,3_1,3_1,3_2,3_2,3_3,3_3,3_4,3_4,3_5,3_5
jdg,,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s,f,s
relation_st,story_st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,11,25,0,11,0,12,0,12,1,8,19,16,2,17,0,22,3,23,3,25,30,27,2,11,4,11,5,10,5,11
0,1,2,19,0,23,0,24,1,22,1,23,6,16,3,8,0,11,1,9,0,9,5,5,0,3,0,1,0,3,1,2
1,0,2,8,11,18,1,16,4,18,6,21,10,20,14,26,1,18,3,20,4,18,18,17,13,35,11,37,4,36,5,36
