cluster1,2_F,2_S,2_R
0,4.5,4.666666666666667,2.5
1,3.9166666666666665,3.1666666666666665,0.3333333333333333
2,4.866666666666666,4.666666666666667,0.0
3,4.0,0.0,0.0
