cluster2,3_F,3_S,3_R
0,4.238095238095238,0.0,4.238095238095238
1,0.0,3.3333333333333335,1.3333333333333333
2,0.0,0.25,4.5
3,0.0,3.8333333333333335,4.666666666666667
